GeoAreaCode,GeoAreaName,Goal 1,Goal 2,Goal 3,Goal 4,Goal 5,Goal 6,Goal 7,Goal 8,Goal 9,Goal 10,Goal 11,Goal 12,Goal 13,Goal 14,Goal 15,Goal 16,Goal 17
4,Afghanistan,20.95238095238095 %,51.66666666666667 %,70.8974358974359 %,32.047619047619044 %,6.944444444444445 %,66.875 %,100 %,52.083333333333336 %,50 %,35.833333333333336 %,30.339506172839503 %,26.36363636363636 %,11.555555555555555 %,0 %,49.76190476190476 %,18.749999999999996 %,70.30864197530863 %
248,Åland Islands,0 %,4.166666666666666 %,0 %,0 %,0 %,7.142857142857142 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,0 %,16.38888888888889 %,0 %,2.083333333333333 %
8,Albania,39.761904761904766 %,49.58333333333334 %,65.06410256410255 %,68.51851851851852 %,30.555555555555557 %,68.69047619047618 %,80 %,46.875 %,66.07142857142857 %,52.31481481481482 %,25.864197530864196 %,30.909090909090907 %,6 %,35.38461538461538 %,45.714285714285715 %,15.303030303030305 %,62.74305555555555 %
12,Algeria,28.57142857142857 %,50.83333333333333 %,68.58974358974359 %,39.14285714285714 %,4.166666666666666 %,66.35416666666667 %,100 %,51.041666666666664 %,60.9375 %,44.404761904761905 %,37.5 %,35.909090909090914 %,16.666666666666668 %,16.153846153846153 %,59.04761904761905 %,21.38888888888889 %,65.49382716049382 %
16,American Samoa,7.142857142857142 %,0 %,5.384615384615384 %,0 %,0 %,29.895833333333332 %,40 %,0 %,5.729166666666666 %,10 %,5.555555555555555 %,9.090909090909092 %,0 %,11.538461538461538 %,34.58333333333333 %,2.083333333333333 %,10.925925925925926 %
20,Andorra,7.142857142857142 %,8.333333333333332 %,42.30769230769231 %,22.96296296296296 %,5.555555555555555 %,44.642857142857146 %,40 %,12.5 %,21.428571428571427 %,13.88888888888889 %,5.555555555555555 %,20.681818181818183 %,0 %,0 %,39.345238095238095 %,7.828282828282827 %,23.645833333333332 %
24,Angola,30.35714285714285 %,50.416666666666664 %,57.05128205128205 %,15.666666666666668 %,4.166666666666666 %,59.791666666666664 %,100 %,33.33333333333333 %,60.9375 %,54.58333333333333 %,34.876543209876544 %,24.545454545454547 %,16.666666666666668 %,35.38461538461538 %,50.71428571428571 %,18.47222222222222 %,70.77160493827161 %
660,Anguilla,15.47619047619048 %,5.416666666666667 %,13.076923076923078 %,0 %,0 %,11.666666666666666 %,50 %,12.5 %,16.145833333333332 %,22.5 %,5.555555555555555 %,22.727272727272727 %,0 %,21.538461538461537 %,25 %,6.944444444444444 %,29.537037037037035 %
28,Antigua and Barbuda,15.357142857142856 %,29.583333333333332 %,63.33333333333334 %,34.904761904761905 %,5.555555555555555 %,41.875 %,100 %,25 %,35.9375 %,35.833333333333336 %,7.901234567901234 %,37.5 %,1.9999999999999998 %,45.38461538461539 %,47.67857142857143 %,21.527777777777775 %,51.358024691358025 %
32,Argentina,52.73809523809524 %,56.25 %,79.23076923076923 %,43.952380952380956 %,29.166666666666668 %,53.85416666666667 %,100 %,71.875 %,76.5625 %,52.08333333333333 %,20.432098765432098 %,46.13636363636363 %,9.555555555555555 %,66.15384615384615 %,57.38095238095238 %,23.749999999999996 %,71.79012345679013 %
51,Armenia,57.02380952380952 %,48.541666666666664 %,70 %,58.80952380952381 %,41.66666666666667 %,70.52083333333333 %,100 %,75 %,71.875 %,53.333333333333336 %,36.11111111111111 %,38.40909090909091 %,16.666666666666668 %,12.5 %,53.92857142857142 %,21.25 %,76.51234567901236 %
533,Aruba,13.095238095238097 %,4.166666666666666 %,5.384615384615384 %,0 %,0 %,15.833333333333332 %,70 %,25 %,20.3125 %,15 %,5.555555555555555 %,31.818181818181817 %,0 %,11.538461538461538 %,21.25 %,0 %,40.27777777777778 %
