company,pe_ratio,roe,roa
Nestle India,90.40,108.31,137.75
Remedium Life,130.47,70.98,102.61
South. Magnesium,22.35,75.89,92.35
Tips Industries,43.56,64.02,88.63
Kore Digital,44.88,77.97,85.88
Waaree Renewab.,76.84,95.78,83.80
Kalyani Cast-Tec,42.42,78.67,83.21
Lloyds Metals,26.22,90.48,81.99
Ovobel Foods,5.97,99.23,80.85
Vasa Denticity,131.88,70.50,80.11
Dreamfolks Servi,38.24,60.19,76.91
Sahana Systems,77.05,83.13,76.49
Digikore Studios,55.62,117.47,75.72
Phantom Digital,34.84,65.45,75.07
Krishca Strapp.,28.65,149.08,74.49
Jyoti Resins,30.52,55.12,72.90
Kody Technolab,117.25,176.67,72.87
Esab India,56.17,53.16,70.68
Coal India,8.47,55.99,70.49
Remus Pharma.,86.62,66.10,68.75
Advani Hotels.,20.67,50.58,66.37
Cons. Finvest,3.10,50.25,65.96
Fine Organic,32.30,49.43,65.34
Netweb Technolog,141.71,68.01,64.41
Innokaiz India,14.18,48.89,62.13
Cochin Minerals,6.27,47.45,61.97
CG Power & Indu.,81.18,66.05,61.65
Guj. Themis Bio.,40.17,45.92,61.14
I R C T C,66.75,45.36,59.19
TCS,30.05,46.92,58.67
Crest Ventures,14.47,50.46,58.63
Praveg,95.04,42.96,56.15
Knowledge Marine,36.63,52.04,55.46
Swaraj Engines,21.97,41.11,55.22
Nicco Parks,31.37,42.25,55.11
Easy Trip Plann.,45.20,46.86,54.57
Shilchar Tech.,28.53,42.84,53.83
Page Industries,85.31,46.44,53.80
Zeal Global Serv,27.83,55.92,53.21
West Coast Paper,4.78,44.79,52.89
Infollion Resea.,36.82,38.97,52.88
Hi-Green Carbon,37.95,68.25,52.65
Pulz Electronics,17.91,38.32,52.41
Share India Sec.,15.23,45.13,52.36
Sigma Solve,38.68,34.65,52.04
Gillette India,59.03,38.49,52.01
Andhra Paper,4.27,39.97,51.95
Indian Energy Ex,47.57,39.38,51.79
Prudent Corp.,39.58,39.73,51.45
K.P. Energy,34.02,41.39,51.15
Apar Inds.,30.15,32.27,51.14
Cams Services,44.79,39.71,48.47
Diamines & Chem.,17.44,35.97,48.40
Radiant Cash,16.79,33.86,48.27
Refex Industries,11.11,46.62,48.04
Anand Rathi Wea.,57.07,37.98,47.91
Tata Elxsi,68.53,41.07,47.74
