Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-04,64.379997,65.900002,62.959999,65.900002,64.117706,538497,Akzo
2023-01-05,65.580002,67.239998,65.120003,65.120003,63.358803,1059020,Akzo
2023-01-06,65.0,65.339996,63.779999,65.300003,63.533932,573055,Akzo
2023-01-09,65.580002,66.800003,65.580002,66.620003,64.81823,575417,Akzo
2023-01-10,66.760002,66.800003,65.239998,66.260002,64.467964,508600,Akzo
2023-01-11,66.199997,67.300003,65.599998,67.139999,65.324165,562378,Akzo
2023-01-12,67.199997,68.339996,66.879997,67.599998,65.771721,356183,Akzo
2023-01-13,67.699997,68.32,67.480003,67.760002,65.927399,254186,Akzo
2023-01-16,67.919998,68.699997,67.239998,68.660004,66.803062,251457,Akzo
2023-01-17,68.779999,69.120003,68.160004,69.120003,67.250618,403123,Akzo
2023-01-18,69.18,69.660004,68.419998,69.099998,67.231155,351647,Akzo
2023-01-19,68.440002,68.739998,66.919998,66.919998,65.110107,470541,Akzo
2023-01-20,67.559998,68.879997,67.32,68.839996,66.97818,469102,Akzo
2023-01-23,68.5,68.800003,67.959999,68.019997,66.180367,378183,Akzo
2023-01-24,68.699997,68.900002,68.019997,68.800003,66.93927,415055,Akzo
2023-01-25,68.919998,69.0,67.919998,68.720001,66.861435,283469,Akzo
2023-01-26,69.0,69.379997,66.599998,68.360001,66.511177,740485,Akzo
2023-01-27,68.860001,68.940002,67.360001,67.900002,66.063606,385482,Akzo
2023-01-30,67.459999,68.68,67.220001,68.5,66.647377,359061,Akzo
2023-01-31,68.260002,68.559998,67.379997,68.139999,66.297119,393687,Akzo
2023-02-01,68.360001,69.360001,68.120003,68.879997,67.017105,236907,Akzo
2023-02-02,69.279999,71.779999,69.239998,71.739998,69.799751,632576,Akzo
2023-02-03,71.580002,72.279999,71.080002,71.919998,69.974892,481099,Akzo
2023-02-06,71.220001,71.68,69.160004,69.82,67.931679,403411,Akzo
2023-02-07,70.019997,70.059998,68.720001,69.760002,67.873306,552508,Akzo
2023-02-08,74.0,76.779999,70.400002,70.480003,68.57383,1201549,Akzo
2023-02-09,70.559998,72.0,70.099998,70.760002,68.84626,690150,Akzo
2023-02-10,70.379997,71.32,68.220001,68.919998,67.056023,512232,Akzo
2023-02-13,69.080002,69.279999,68.580002,68.900002,67.03656,388210,Akzo
2023-02-14,69.260002,69.5,68.639999,69.18,67.30899,580997,Akzo
2023-02-15,69.5,71.160004,69.139999,70.599998,68.69059,392817,Akzo
2023-02-16,70.82,71.760002,69.480003,70.800003,68.885185,495670,Akzo
2023-02-17,70.160004,70.32,69.0,69.860001,67.970604,507522,Akzo
2023-02-20,70.0,70.599998,69.980003,70.400002,68.496002,182805,Akzo
2023-02-21,71.0,71.0,69.040001,69.040001,67.172775,457800,Akzo
