Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,3039.550049,3046.600098,2995.399902,3004.350098,2979.274902,1113920,Asian Paint
2023-01-06,3010.0,3023.5,2952.0,2978.399902,2953.54126,1045526,Asian Paint
2023-01-09,2993.300049,3017.649902,2951.0,2984.149902,2959.243164,808263,Asian Paint
2023-01-10,2984.149902,2985.0,2952.199951,2960.350098,2935.64209,864325,Asian Paint
2023-01-11,2974.899902,2974.899902,2935.0,2940.399902,2915.858154,890426,Asian Paint
2023-01-12,2939.0,2939.850098,2896.0,2915.949951,2891.612549,1558620,Asian Paint
2023-01-13,2925.0,2925.0,2871.75,2909.149902,2884.869141,1507864,Asian Paint
2023-01-16,2925.0,2929.600098,2896.0,2916.050049,2891.71167,644073,Asian Paint
2023-01-17,2925.0,2944.850098,2911.149902,2940.899902,2916.354248,716489,Asian Paint
2023-01-18,2947.949951,2960.0,2929.350098,2945.25,2920.667969,893808,Asian Paint
2023-01-19,2954.899902,2973.600098,2843.600098,2866.149902,2842.228027,2379947,Asian Paint
2023-01-20,2848.0,2848.0,2781.0,2787.800049,2764.531982,3171005,Asian Paint
2023-01-23,2800.0,2800.0,2767.850098,2784.449951,2761.209961,1402260,Asian Paint
2023-01-24,2795.0,2827.100098,2784.449951,2810.600098,2787.141846,1061471,Asian Paint
2023-01-25,2810.899902,2811.0,2767.100098,2775.0,2751.838867,857953,Asian Paint
2023-01-27,2766.600098,2772.850098,2685.850098,2722.649902,2699.925781,1801498,Asian Paint
2023-01-30,2724.0,2776.0,2696.25,2766.199951,2743.112305,1171912,Asian Paint
2023-01-31,2760.0,2779.949951,2718.050049,2725.850098,2703.099121,1961805,Asian Paint
2023-02-01,2749.800049,2778.0,2704.800049,2743.75,2720.849854,1176872,Asian Paint
2023-02-02,2741.0,2741.0,2694.0,2705.649902,2683.067627,1308570,Asian Paint
2023-02-03,2705.649902,2763.899902,2700.0,2760.399902,2737.360596,1278409,Asian Paint
2023-02-06,2760.399902,2765.0,2718.0,2754.199951,2731.212402,1120284,Asian Paint
2023-02-07,2762.0,2774.5,2748.149902,2758.050049,2735.030273,732250,Asian Paint
2023-02-08,2768.0,2784.0,2744.300049,2765.600098,2742.517578,811956,Asian Paint
2023-02-09,2781.949951,2820.350098,2766.149902,2814.600098,2791.108398,946372,Asian Paint
2023-02-10,2830.0,2830.949951,2793.0,2804.600098,2781.191895,700072,Asian Paint
2023-02-13,2814.5,2829.0,2780.0,2790.75,2767.457275,467228,Asian Paint
2023-02-14,2804.75,2804.75,2765.0,2777.0,2753.822266,524746,Asian Paint
2023-02-15,2777.0,2798.300049,2754.0,2786.149902,2762.895752,817717,Asian Paint
2023-02-16,2797.0,2834.350098,2790.100098,2805.949951,2782.530273,788964,Asian Paint
2023-02-17,2802.949951,2845.850098,2785.5,2833.600098,2809.949707,840526,Asian Paint
2023-02-20,2845.0,2852.0,2812.100098,2825.550049,2801.967041,646218,Asian Paint
2023-02-21,2837.0,2838.699951,2805.0,2817.100098,2793.587402,631934,Asian Paint
2023-02-22,2809.949951,2813.949951,2780.0,2795.949951,2772.61377,580270,Asian Paint
