Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,2627.550049,2645.949951,2527.550049,2556.300049,2545.265137,75412,Balaji Amine
2023-01-06,2551.0,2578.0,2512.0,2550.600098,2539.589844,37246,Balaji Amine
2023-01-09,2566.600098,2604.149902,2552.0,2567.850098,2556.765381,33094,Balaji Amine
2023-01-10,2580.699951,2614.5,2560.600098,2602.75,2591.514648,31212,Balaji Amine
2023-01-11,2622.449951,2622.449951,2571.449951,2588.300049,2577.126953,17502,Balaji Amine
2023-01-12,2588.0,2607.899902,2543.699951,2554.25,2543.223877,30966,Balaji Amine
2023-01-13,2566.949951,2582.25,2551.0,2560.899902,2549.845215,22410,Balaji Amine
2023-01-16,2560.0,2575.0,2549.949951,2556.399902,2545.364502,14120,Balaji Amine
2023-01-17,2560.0,2560.0,2490.0,2497.800049,2487.017578,54586,Balaji Amine
2023-01-18,2497.800049,2518.600098,2430.050049,2442.25,2431.70752,70073,Balaji Amine
2023-01-19,2440.25,2450.550049,2410.0,2427.949951,2417.468994,53645,Balaji Amine
2023-01-20,2420.0,2430.899902,2374.149902,2380.449951,2370.174072,45283,Balaji Amine
2023-01-23,2371.0,2386.199951,2335.699951,2342.100098,2331.989746,44352,Balaji Amine
2023-01-24,2340.0,2435.0,2330.0,2340.850098,2330.745361,80959,Balaji Amine
2023-01-25,2321.0,2347.449951,2287.0,2302.300049,2292.361572,67558,Balaji Amine
2023-01-27,2313.850098,2319.699951,2250.0,2280.800049,2270.954346,56681,Balaji Amine
2023-01-30,2281.300049,2306.0,2251.0,2258.350098,2248.601318,27654,Balaji Amine
2023-01-31,2263.449951,2399.899902,2257.699951,2386.0,2375.700195,85739,Balaji Amine
2023-02-01,2399.0,2435.0,2315.649902,2326.449951,2316.407227,77248,Balaji Amine
2023-02-02,2300.0,2339.899902,2292.050049,2315.550049,2305.554443,26958,Balaji Amine
2023-02-03,2317.050049,2340.0,2288.449951,2331.199951,2321.136719,22885,Balaji Amine
2023-02-06,2344.800049,2384.350098,2284.100098,2300.449951,2290.519531,45935,Balaji Amine
2023-02-07,2250.0,2254.949951,2163.800049,2172.399902,2163.022217,184603,Balaji Amine
2023-02-08,2165.0,2275.0,2152.0,2194.449951,2184.977051,101960,Balaji Amine
2023-02-09,2190.449951,2216.600098,2185.0,2195.699951,2186.22168,32521,Balaji Amine
2023-02-10,2192.0,2209.899902,2154.149902,2169.25,2159.885986,45271,Balaji Amine
2023-02-13,2169.899902,2224.0,2167.050049,2185.449951,2176.015869,43389,Balaji Amine
2023-02-14,2182.0,2198.350098,2150.0,2154.850098,2145.548096,33678,Balaji Amine
2023-02-15,2160.649902,2163.25,2125.0,2133.899902,2124.688477,31135,Balaji Amine
2023-02-16,2136.600098,2230.0,2136.600098,2210.850098,2201.306396,59209,Balaji Amine
2023-02-17,2221.949951,2254.449951,2208.050049,2217.850098,2208.276123,46396,Balaji Amine
2023-02-20,2228.899902,2228.899902,2164.399902,2176.449951,2167.054688,40856,Balaji Amine
2023-02-21,2185.550049,2210.0,2160.0,2199.0,2189.507568,37425,Balaji Amine
2023-02-22,2199.0,2199.850098,2165.0,2172.300049,2162.922852,16855,Balaji Amine
2023-02-23,2180.0,2183.149902,2148.699951,2152.100098,2142.810059,22332,Balaji Amine
2023-02-24,2159.699951,2189.949951,2150.0,2155.649902,2146.344482,16597,Balaji Amine
2023-02-27,2158.0,2175.0,2135.149902,2157.899902,2148.584717,23292,Balaji Amine
2023-02-28,2157.899902,2210.0,2154.0,2198.600098,2189.109375,27563,Balaji Amine
2023-03-01,2202.0,2220.0,2181.550049,2193.550049,2184.081055,20789,Balaji Amine
2023-03-02,2194.0,2219.899902,2187.0,2192.100098,2182.637451,17799,Balaji Amine
2023-03-03,2203.100098,2205.0,2180.0,2183.199951,2173.775635,26057,Balaji Amine
2023-03-06,2194.300049,2249.0,2194.25,2226.0,2216.390869,47827,Balaji Amine
2023-03-08,2193.899902,2221.149902,2176.0,2211.800049,2202.252197,34645,Balaji Amine
2023-03-09,2220.0,2288.0,2206.0,2274.25,2264.432617,81077,Balaji Amine
2023-03-10,2267.0,2285.0,2224.0,2260.899902,2251.140137,46716,Balaji Amine
2023-03-13,2269.949951,2270.0,2145.449951,2155.350098,2146.045898,63213,Balaji Amine
2023-03-14,2155.949951,2184.949951,2080.050049,2092.899902,2083.865479,67447,Balaji Amine
2023-03-15,2117.100098,2124.0,2055.0,2059.5,2050.609619,47992,Balaji Amine
2023-03-16,2054.0,2061.949951,1998.0,2003.699951,1995.050537,67526,Balaji Amine
2023-03-17,2013.75,2058.25,2000.0,2006.449951,1997.788574,45366,Balaji Amine
2023-03-20,1976.199951,2040.0,1975.0,1985.0,1976.431274,43257,Balaji Amine
2023-03-21,1995.949951,2039.0,1976.150024,2004.349976,1995.697754,52064,Balaji Amine
2023-03-22,2014.949951,2034.849976,2003.0,2006.900024,1998.236694,25224,Balaji Amine
2023-03-23,2026.949951,2093.0,2006.900024,2064.800049,2055.886719,95409,Balaji Amine
2023-03-24,2078.0,2088.75,2016.849976,2022.150024,2013.420898,38388,Balaji Amine
2023-03-27,2030.0,2037.550049,1974.099976,1984.650024,1976.082764,41952,Balaji Amine
2023-03-28,1987.949951,1993.949951,1940.0,1945.099976,1936.703491,49381,Balaji Amine
2023-03-29,1932.099976,1972.75,1932.099976,1942.400024,1934.015137,54995,Balaji Amine
2023-03-31,1944.900024,1992.949951,1936.0,1943.300049,1934.911255,51382,Balaji Amine
2023-04-03,1943.5,2118.850098,1943.5,2094.050049,2085.010498,306073,Balaji Amine
2023-04-05,2105.0,2150.0,2100.699951,2127.649902,2118.465332,80158,Balaji Amine
2023-04-06,2120.050049,2170.0,2089.0,2148.199951,2138.926758,47812,Balaji Amine
2023-04-10,2163.949951,2264.449951,2150.050049,2254.0,2244.27002,123718,Balaji Amine
2023-04-11,2253.0,2395.0,2226.800049,2363.199951,2352.998535,252679,Balaji Amine
2023-04-12,2377.0,2500.0,2352.0,2486.399902,2475.666748,287325,Balaji Amine
2023-04-13,2495.0,2546.949951,2425.0,2494.350098,2483.58252,179303,Balaji Amine
2023-04-17,2461.0,2468.449951,2360.149902,2377.699951,2367.436035,123585,Balaji Amine
2023-04-18,2375.0,2415.0,2333.449951,2394.850098,2384.512207,110102,Balaji Amine
2023-04-19,2385.0,2424.0,2330.0,2346.199951,2336.072021,47980,Balaji Amine
2023-04-20,2346.5,2369.0,2205.550049,2221.600098,2212.01001,138977,Balaji Amine
2023-04-21,2236.300049,2275.050049,2165.699951,2184.449951,2175.020264,136184,Balaji Amine
2023-04-24,2194.0,2200.0,2174.149902,2190.699951,2181.243164,46159,Balaji Amine
2023-04-25,2193.949951,2207.0,2130.0,2142.949951,2133.699463,82172,Balaji Amine
2023-04-26,2153.75,2164.850098,2085.0,2097.149902,2088.096924,136890,Balaji Amine
2023-04-27,2109.550049,2129.350098,2096.0,2098.899902,2089.8396,68845,Balaji Amine
2023-04-28,2120.0,2128.149902,2090.550049,2100.300049,2091.233643,67995,Balaji Amine
2023-05-02,2121.75,2282.899902,2113.300049,2226.350098,2216.739502,330502,Balaji Amine
2023-05-03,2236.0,2309.899902,2218.550049,2298.050049,2288.129883,222426,Balaji Amine
2023-05-04,2310.0,2333.0,2272.0,2283.5,2273.642822,100313,Balaji Amine
2023-05-05,2291.0,2298.800049,2212.0,2229.0,2219.37793,50147,Balaji Amine
2023-05-08,2229.0,2368.449951,2229.0,2358.350098,2348.169678,198286,Balaji Amine
2023-05-09,2378.699951,2416.850098,2370.0,2387.050049,2376.74585,133455,Balaji Amine
2023-05-10,2407.850098,2407.850098,2331.100098,2356.75,2346.576416,68918,Balaji Amine
2023-05-11,2359.600098,2399.899902,2359.600098,2382.300049,2372.016357,69091,Balaji Amine
2023-05-12,2382.449951,2389.850098,2359.600098,2371.350098,2361.113525,37328,Balaji Amine
2023-05-15,2387.300049,2394.0,2360.100098,2390.350098,2380.031494,42090,Balaji Amine
2023-05-16,2404.350098,2450.0,2391.0,2411.949951,2401.538086,77482,Balaji Amine
2023-05-17,2414.949951,2414.949951,2350.0,2365.75,2355.537598,46099,Balaji Amine
2023-05-18,2376.949951,2405.949951,2365.0,2377.699951,2367.436035,32895,Balaji Amine
2023-05-19,2376.899902,2380.050049,2297.350098,2306.5,2296.543457,77190,Balaji Amine
2023-05-22,1999.949951,2247.199951,1880.0,2167.300049,2157.944336,1123040,Balaji Amine
2023-05-23,2185.0,2282.0,2184.5,2211.100098,2201.55542,347924,Balaji Amine
2023-05-24,2211.100098,2224.850098,2154.600098,2162.25,2152.916016,108997,Balaji Amine
2023-05-25,2178.0,2190.550049,2150.0,2155.25,2145.946289,46907,Balaji Amine
2023-05-26,2166.399902,2185.75,2140.0,2158.75,2149.431152,42370,Balaji Amine
2023-05-29,2183.0,2183.0,2133.0,2142.699951,2133.450439,50360,Balaji Amine
2023-05-30,2157.0,2165.600098,2110.25,2121.25,2112.093018,59763,Balaji Amine
