Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,9.700000,9.940000,7.920000,7.980000,7.980000,2680
2023-01-05,7.980000,9.920000,7.180000,7.340000,7.340000,2700
2023-01-06,7.520000,10.400000,7.520000,9.600000,9.600000,17085
2023-01-09,9.600000,9.600000,8.700000,9.000000,9.000000,745
2023-01-10,8.800000,9.600000,8.000000,8.900000,8.900000,1455
2023-01-11,9.340000,10.000000,8.840000,8.840000,8.840000,2855
2023-01-12,9.280000,9.800000,8.680000,9.420000,9.420000,1390
2023-01-13,9.000000,9.400000,8.840000,8.920000,8.920000,2430
2023-01-17,8.760000,8.880000,7.400000,8.600000,8.600000,7680
2023-01-18,8.400000,8.400000,7.800000,8.000000,8.000000,5785
2023-01-19,8.400000,8.980000,7.000000,7.880000,7.880000,4710
2023-01-20,8.200000,8.200000,7.520000,7.700000,7.700000,4380
2023-01-23,7.400000,7.600000,6.400000,7.500000,7.500000,1950
2023-01-24,7.600000,7.600000,6.900000,7.200000,7.200000,5110
2023-01-25,7.400000,7.400000,6.200000,6.600000,6.600000,38305
2023-01-26,7.000000,7.000000,6.400000,6.580000,6.580000,19075
2023-01-27,6.600000,7.600000,6.200000,7.400000,7.400000,109080
2023-01-30,12.400000,14.500000,8.000000,8.360000,8.360000,1255750
2023-01-31,9.100000,10.400000,7.800000,10.400000,10.400000,283455
2023-02-01,10.000000,10.400000,8.000000,8.600000,8.600000,176270
2023-02-02,8.000000,8.640000,8.000000,8.400000,8.400000,42285
2023-02-03,8.060000,8.440000,7.600000,7.800000,7.800000,34360
2023-02-06,8.200000,8.280000,6.940000,7.140000,7.140000,44815
2023-02-07,7.000000,7.000000,6.620000,7.000000,7.000000,42260
2023-02-08,7.060000,7.640000,6.960000,7.400000,7.400000,51155
2023-02-09,7.620000,7.620000,7.140000,7.400000,7.400000,27640
2023-02-10,6.560000,6.560000,3.740000,3.940000,3.940000,401975
2023-02-13,3.860000,3.980000,3.700000,3.980000,3.980000,110825
2023-02-14,3.980000,4.000000,3.220000,3.400000,3.400000,160685
2023-02-15,3.540000,3.740000,3.440000,3.700000,3.700000,64645
2023-02-16,3.780000,3.840000,3.500000,3.840000,3.840000,51770
2023-02-17,3.800000,3.800000,3.520000,3.680000,3.680000,23050
2023-02-21,3.800000,3.800000,3.300000,3.460000,3.460000,46910
2023-02-22,3.440000,3.680000,3.300000,3.360000,3.360000,18845
2023-02-23,3.560000,3.560000,3.300000,3.340000,3.340000,57020
2023-02-24,3.240000,3.380000,3.020000,3.180000,3.180000,40445
2023-02-27,3.280000,3.380000,3.100000,3.260000,3.260000,19285
2023-02-28,3.260000,3.260000,3.000000,3.060000,3.060000,43520
2023-03-01,3.000000,3.400000,3.000000,3.260000,3.260000,108115
2023-03-02,3.600000,3.800000,3.280000,3.600000,3.600000,854355
2023-03-03,3.500000,3.640000,3.320000,3.420000,3.420000,145035
2023-03-06,3.360000,3.660000,3.240000,3.600000,3.600000,173885
2023-03-07,3.700000,4.860000,3.660000,4.200000,4.200000,1235910
2023-03-08,4.200000,4.320000,3.400000,3.580000,3.580000,431850
2023-03-09,3.460000,3.740000,3.460000,3.620000,3.620000,142705
2023-03-10,3.440000,3.580000,3.200000,3.400000,3.400000,167635
2023-03-13,3.380000,3.380000,3.000000,3.060000,3.060000,148105
2023-03-14,3.100000,3.200000,3.000000,3.020000,3.020000,83565
2023-03-15,3.240000,3.240000,2.760000,2.880000,2.880000,102640
2023-03-16,2.820000,3.000000,2.820000,3.000000,3.000000,36990
2023-03-17,3.000000,3.000000,2.600000,2.600000,2.600000,52395
2023-03-20,2.800000,3.300000,2.660000,3.180000,3.180000,640755
2023-03-21,3.780000,4.660000,3.220000,3.540000,3.540000,1086775
2023-03-22,3.360000,3.440000,3.100000,3.200000,3.200000,145215
2023-03-23,3.200000,3.500000,3.060000,3.120000,3.120000,109725
2023-03-24,3.160000,3.760000,3.040000,3.480000,3.480000,180360
2023-03-27,3.500000,3.600000,3.320000,3.320000,3.320000,45305
2023-03-28,3.400000,3.480000,3.160000,3.180000,3.180000,41680
2023-03-29,3.180000,3.260000,3.040000,3.140000,3.140000,51020
2023-03-30,3.040000,3.220000,2.280000,2.580000,2.580000,655580
2023-03-31,2.600000,2.820000,2.400000,2.540000,2.540000,235520
2023-04-03,2.640000,2.940000,2.580000,2.800000,2.800000,389055
2023-04-04,2.800000,2.800000,2.400000,2.500000,2.500000,137850
2023-04-05,2.520000,2.600000,2.460000,2.580000,2.580000,76940
2023-04-06,2.600000,2.680000,2.500000,2.640000,2.640000,64440
2023-04-10,2.600000,2.660000,2.520000,2.640000,2.640000,52320
2023-04-11,2.660000,2.920000,2.500000,2.720000,2.720000,182890
2023-04-12,2.720000,2.780000,2.600000,2.680000,2.680000,91890
2023-04-13,2.740000,2.960000,2.600000,2.900000,2.900000,180870
2023-04-14,2.960000,2.960000,2.660000,2.720000,2.720000,71750
2023-04-17,2.900000,2.900000,2.720000,2.840000,2.840000,76625
2023-04-18,2.940000,2.940000,2.500000,2.700000,2.700000,286935
2023-04-19,2.700000,2.700000,2.600000,2.640000,2.640000,49345
2023-04-20,2.620000,2.700000,2.580000,2.640000,2.640000,46905
2023-04-21,2.620000,2.620000,2.500000,2.500000,2.500000,60375
2023-04-24,2.540000,2.600000,2.400000,2.420000,2.420000,51635
2023-04-25,2.400000,2.420000,2.260000,2.260000,2.260000,81845
2023-04-26,2.400000,2.580000,2.260000,2.400000,2.400000,312800
2023-04-27,2.400000,2.500000,2.340000,2.400000,2.400000,72210
2023-04-28,2.280000,2.500000,2.260000,2.500000,2.500000,68660
2023-05-01,2.560000,2.560000,2.300000,2.360000,2.360000,41890
2023-05-02,2.360000,2.420000,2.200000,2.280000,2.280000,106595
2023-05-03,2.340000,2.360000,2.200000,2.300000,2.300000,50995
2023-05-04,2.320000,2.320000,2.240000,2.260000,2.260000,30140
2023-05-05,2.240000,2.300000,2.160000,2.260000,2.260000,36880
2023-05-08,2.360000,2.360000,2.200000,2.280000,2.280000,45620
2023-05-09,2.400000,2.540000,2.280000,2.520000,2.520000,310120
2023-05-10,2.540000,2.540000,2.320000,2.440000,2.440000,153135
2023-05-11,2.380000,2.440000,2.300000,2.320000,2.320000,47885
2023-05-12,2.300000,2.340000,2.160000,2.240000,2.240000,67635
2023-05-15,2.260000,2.260000,2.140000,2.180000,2.180000,53230
2023-05-16,2.160000,2.360000,2.160000,2.260000,2.260000,42695
2023-05-17,2.280000,2.700000,2.220000,2.460000,2.460000,314210
2023-05-18,2.400000,2.460000,2.280000,2.280000,2.280000,65345
2023-05-19,2.400000,2.400000,2.240000,2.240000,2.240000,47530
2023-05-22,2.220000,2.300000,2.120000,2.140000,2.140000,75540
2023-05-23,2.400000,2.400000,2.000000,2.160000,2.160000,170985
2023-05-24,2.060000,2.120000,1.780000,2.000000,2.000000,126140
2023-05-25,1.940000,2.040000,1.740000,1.860000,1.860000,195945
2023-05-26,1.840000,1.840000,1.700000,1.720000,1.720000,59030
2023-05-30,1.740000,2.200000,1.680000,2.140000,2.140000,590295
2023-05-31,2.060000,2.100000,1.860000,1.960000,1.960000,149875
2023-06-01,2.200000,2.200000,1.860000,1.940000,1.940000,257225
2023-06-02,1.900000,1.960000,1.740000,1.900000,1.900000,140550
2023-06-05,1.900000,1.900000,1.620000,1.700000,1.700000,142330
2023-06-06,1.700000,1.700000,1.460000,1.540000,1.540000,153285
2023-06-07,1.600000,1.600000,1.480000,1.500000,1.500000,100930
2023-06-08,1.540000,1.720000,1.500000,1.680000,1.680000,144885
2023-06-09,1.660000,1.680000,1.540000,1.580000,1.580000,82115
2023-06-12,1.660000,1.660000,1.500000,1.500000,1.500000,62050
2023-06-13,1.560000,1.600000,1.440000,1.500000,1.500000,86605
2023-06-14,1.540000,1.540000,1.400000,1.460000,1.460000,78680
2023-06-15,1.460000,1.480000,1.300000,1.440000,1.440000,155435
2023-06-16,1.500000,1.780000,1.440000,1.640000,1.640000,651815
2023-06-20,1.680000,1.680000,1.320000,1.380000,1.380000,448445
2023-06-21,1.510000,1.520000,1.160000,1.330000,1.330000,2053300
2023-06-22,1.320000,1.330000,1.240000,1.290000,1.290000,291500
2023-06-23,1.270000,1.280000,1.180000,1.240000,1.240000,141600
2023-06-26,1.210000,1.230000,1.180000,1.190000,1.190000,72900
2023-06-27,1.210000,1.380000,1.150000,1.300000,1.300000,744500
2023-06-28,1.270000,1.291000,1.160000,1.180000,1.180000,243000
2023-06-29,1.200000,1.200000,1.110000,1.160000,1.160000,122200
2023-06-30,1.170000,1.200000,1.120000,1.140000,1.140000,109900
2023-07-03,1.140000,1.160000,1.080000,1.135000,1.135000,59600
2023-07-05,1.110000,1.140000,1.080000,1.090000,1.090000,109800
2023-07-06,1.070000,1.120000,1.060000,1.100000,1.100000,83300
2023-07-07,1.110000,1.150000,1.110000,1.150000,1.150000,42000
2023-07-10,1.130000,1.140000,1.050000,1.100000,1.100000,111200
2023-07-11,1.120000,1.220000,1.080000,1.190000,1.190000,125300
2023-07-12,1.190000,1.230000,1.140000,1.180000,1.180000,120100
2023-07-13,1.190000,1.240000,1.130000,1.200000,1.200000,294800
2023-07-14,1.160000,1.180000,1.130000,1.180000,1.180000,59500
2023-07-17,1.170000,1.170000,1.060000,1.100000,1.100000,110000
2023-07-18,1.120000,1.120000,1.070000,1.080000,1.080000,52300
2023-07-19,1.090000,1.130000,1.060000,1.130000,1.130000,52400
2023-07-20,1.100000,1.110000,1.050000,1.090000,1.090000,53700
2023-07-21,1.080000,1.100000,0.990000,1.020000,1.020000,154600
2023-07-24,1.050000,1.150000,1.040000,1.130000,1.130000,94400
2023-07-25,1.110000,1.110000,1.030000,1.065000,1.065000,71400
2023-07-26,1.060000,1.100000,1.030000,1.070000,1.070000,67800
2023-07-27,1.100000,1.100000,1.030000,1.070000,1.070000,16800
2023-07-28,1.050000,1.100000,1.000000,1.020000,1.020000,119400
2023-07-31,0.950000,0.953000,0.820000,0.839000,0.839000,330700
2023-08-01,0.842000,0.866000,0.821000,0.855000,0.855000,78200
2023-08-02,0.830000,0.870000,0.830000,0.864000,0.864000,101400
2023-08-03,0.850000,0.850000,0.793000,0.800000,0.800000,131200
2023-08-04,0.780000,1.240000,0.763000,0.875000,0.875000,5596900
2023-08-07,1.030000,2.080000,0.930000,1.250000,1.250000,32744500
