Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,897.000000,910.599976,888.049988,902.650024,890.971680,729644
2023-01-06,903.000000,909.000000,894.799988,901.750000,890.083313,395416
2023-01-09,908.250000,908.250000,892.000000,899.049988,887.418274,302765
2023-01-10,893.200012,905.349976,889.950012,901.549988,889.885925,337509
2023-01-11,903.000000,905.000000,885.000000,890.349976,878.830750,249798
2023-01-12,890.000000,894.000000,874.000000,881.849976,870.440796,239803
2023-01-13,881.849976,886.000000,870.200012,872.900024,861.606628,341782
2023-01-16,872.900024,882.450012,867.000000,878.549988,867.183472,236373
2023-01-17,875.000000,886.950012,873.200012,885.599976,874.142273,122319
2023-01-18,890.250000,890.250000,880.150024,886.799988,875.326782,186188
2023-01-19,885.000000,887.500000,878.000000,881.900024,870.490173,183919
2023-01-20,880.000000,882.000000,861.500000,866.450012,855.240051,221348
2023-01-23,867.599976,870.700012,861.000000,863.500000,852.328186,182394
2023-01-24,863.000000,870.799988,860.000000,863.650024,852.476257,145716
2023-01-25,865.049988,866.299988,843.349976,855.500000,844.431702,448402
2023-01-27,859.900024,859.900024,838.000000,854.099976,843.049805,263739
2023-01-30,854.950012,869.000000,849.000000,859.500000,848.379944,240414
2023-01-31,863.099976,899.000000,861.549988,895.049988,883.469971,578144
2023-02-01,898.500000,916.000000,894.500000,900.450012,888.800171,829130
2023-02-02,906.000000,915.000000,862.500000,881.349976,869.947266,1151231
2023-02-03,890.650024,890.650024,866.250000,873.549988,862.248108,408248
2023-02-06,866.000000,897.900024,866.000000,892.799988,881.249146,341513
2023-02-07,884.700012,904.500000,884.599976,901.150024,889.491089,422809
2023-02-08,906.000000,922.950012,901.599976,918.250000,906.369873,416846
2023-02-09,920.000000,927.000000,912.000000,918.400024,906.517944,219226
2023-02-10,920.000000,932.000000,914.450012,924.900024,912.933838,239019
2023-02-13,928.000000,930.000000,900.750000,902.799988,891.119751,316355
2023-02-14,904.900024,920.849976,901.849976,908.250000,896.499268,201109
2023-02-15,908.250000,917.750000,903.049988,912.950012,901.138428,197364
2023-02-16,914.000000,919.349976,906.450012,914.099976,902.273560,373857
2023-02-17,911.900024,912.549988,902.849976,906.000000,900.187012,149997
2023-02-20,905.900024,915.000000,893.299988,910.200012,904.360107,281936
2023-02-21,910.000000,912.900024,898.250000,902.400024,896.610168,164297
2023-02-22,901.450012,903.900024,885.000000,889.900024,884.190369,421421
2023-02-23,888.549988,899.150024,880.799988,886.500000,880.812134,187125
2023-02-24,886.599976,892.750000,884.599976,888.299988,882.600586,132870
2023-02-27,883.900024,896.950012,878.049988,891.900024,886.177490,336552
2023-02-28,896.349976,911.950012,892.549988,898.549988,892.784790,391761
2023-03-01,893.200012,916.000000,892.799988,913.099976,907.241455,142392
2023-03-02,914.650024,917.650024,902.000000,903.450012,897.653381,111049
2023-03-03,906.549988,910.000000,898.650024,907.150024,901.329651,122344
2023-03-06,909.950012,939.400024,908.049988,934.049988,928.057068,768559
2023-03-08,932.900024,937.099976,922.500000,929.200012,923.238159,307023
2023-03-09,932.000000,935.799988,916.549988,920.200012,914.295959,136665
2023-03-10,920.200012,921.900024,902.099976,914.700012,908.831238,156616
2023-03-13,910.200012,915.299988,872.099976,877.900024,872.267334,220740
2023-03-14,872.500000,887.750000,870.900024,881.299988,875.645508,187442
2023-03-15,887.750000,889.650024,865.049988,872.700012,867.100708,311374
2023-03-16,868.000000,877.450012,858.000000,861.099976,855.575073,179044
2023-03-17,862.000000,869.950012,855.799988,858.700012,853.190552,251589
2023-03-20,858.549988,877.700012,848.200012,852.500000,847.030273,183415
2023-03-21,856.750000,864.400024,841.500000,862.400024,856.866821,292070
2023-03-22,866.950012,872.000000,860.349976,866.950012,861.387573,176788
2023-03-23,871.299988,898.500000,870.450012,894.450012,888.711121,941282
2023-03-24,892.549988,895.599976,878.250000,881.250000,875.595825,272703
2023-03-27,880.900024,887.849976,871.000000,878.650024,873.012512,208832
2023-03-28,880.950012,880.950012,865.000000,868.250000,862.679260,213717
2023-03-29,861.250000,867.950012,848.549988,857.650024,852.147278,351954
2023-03-31,861.049988,881.849976,861.049988,879.250000,873.608643,177384
2023-04-03,882.000000,882.500000,864.000000,880.450012,874.800964,279637
2023-04-05,880.000000,899.900024,874.099976,897.950012,892.188721,379044
2023-04-06,897.000000,924.950012,891.250000,923.049988,917.127625,811978
2023-04-10,925.000000,936.000000,918.049988,933.849976,927.858337,534891
2023-04-11,934.000000,936.000000,922.849976,929.450012,923.486572,279636
2023-04-12,926.500000,940.000000,922.650024,927.700012,921.747803,342883
2023-04-13,927.549988,936.599976,925.000000,927.250000,921.300659,204898
2023-04-17,923.000000,933.849976,919.250000,925.950012,920.009033,179611
2023-04-18,925.950012,932.700012,922.450012,930.900024,924.927307,170110
2023-04-19,940.000000,956.900024,930.450012,946.750000,940.675598,785878
2023-04-20,947.099976,953.950012,927.500000,930.599976,924.629150,317673
2023-04-21,929.950012,946.950012,927.099976,940.500000,934.465698,277074
2023-04-24,955.900024,956.799988,938.000000,940.900024,934.863159,322038
2023-04-25,940.000000,944.599976,932.349976,938.000000,931.981689,164275
2023-04-26,932.000000,943.500000,931.200012,939.200012,933.174011,206972
2023-04-27,940.000000,956.450012,939.349976,949.450012,943.358276,335681
2023-04-28,953.950012,953.950012,939.500000,942.450012,936.403198,276226
2023-05-02,947.099976,953.000000,939.000000,948.099976,942.016907,203660
2023-05-03,945.099976,950.900024,936.400024,942.250000,936.204468,314317
2023-05-04,944.549988,982.000000,940.200012,974.549988,968.297180,893607
2023-05-05,976.900024,979.700012,957.700012,961.049988,954.883789,163744
2023-05-08,961.000000,984.000000,960.299988,978.849976,972.569580,292507
2023-05-09,978.000000,978.799988,956.900024,959.500000,953.343750,345094
2023-05-10,958.000000,967.500000,953.849976,960.200012,954.039307,136724
2023-05-11,961.000000,973.450012,959.450012,969.349976,963.130554,184978
2023-05-12,970.599976,973.250000,963.549988,970.700012,964.471924,306907
2023-05-15,969.000000,977.000000,954.299988,960.799988,954.635437,354564
2023-05-16,940.000000,987.000000,939.900024,962.150024,955.976807,965270
2023-05-17,953.000000,1004.299988,953.000000,979.750000,973.463867,1311805
2023-05-18,988.799988,989.000000,920.750000,943.000000,936.949646,1385832
2023-05-19,945.000000,946.450012,917.200012,926.950012,921.002625,344422
2023-05-22,920.000000,942.000000,908.099976,931.750000,925.771790,389600
2023-05-23,936.700012,939.500000,912.299988,920.950012,915.041138,367173
2023-05-24,919.950012,924.750000,910.000000,922.150024,916.233459,302517
2023-05-25,922.150024,932.799988,915.349976,927.500000,921.549072,245117
2023-05-26,928.000000,939.900024,921.299988,937.450012,931.435242,365098
2023-05-29,940.299988,962.450012,932.700012,949.150024,943.060181,329241
2023-05-30,950.000000,965.950012,949.200012,958.849976,952.697937,263278
2023-05-31,960.000000,965.000000,953.799988,959.849976,953.691528,356528
2023-06-01,960.000000,962.950012,943.200012,946.650024,940.576233,278264
2023-06-02,948.599976,961.000000,943.799988,953.049988,946.935120,419656
2023-06-05,960.000000,968.000000,946.849976,960.299988,954.138611,276457
2023-06-06,960.349976,966.750000,946.549988,955.650024,949.518494,448092
2023-06-07,957.000000,973.700012,955.700012,965.750000,959.553650,375230
2023-06-08,972.000000,972.000000,949.000000,959.349976,953.194702,1423245
2023-06-09,959.000000,959.000000,929.000000,931.750000,925.771790,645957
2023-06-12,935.000000,936.700012,921.000000,933.799988,927.808655,856019
2023-06-13,936.000000,951.500000,931.349976,936.299988,930.292603,426509
2023-06-14,937.000000,955.900024,934.650024,946.250000,940.178772,450746
2023-06-15,946.599976,950.000000,935.000000,939.650024,933.621155,269672
2023-06-16,940.950012,944.299988,931.099976,936.549988,930.541016,465272
2023-06-19,938.000000,948.750000,931.599976,940.299988,934.266968,409707
2023-06-20,942.000000,946.950012,932.000000,944.500000,938.440002,300459
2023-06-21,948.000000,948.000000,936.000000,942.250000,936.204468,330585
2023-06-22,948.000000,968.849976,946.000000,950.349976,944.252441,2225708
2023-06-23,953.000000,957.250000,916.000000,928.250000,922.294250,759784
2023-06-26,928.049988,939.500000,913.549988,936.400024,930.392029,583323
2023-06-27,939.900024,951.000000,932.500000,939.400024,933.372742,390876
2023-06-28,939.400024,939.400024,939.400024,939.400024,933.372742,0
2023-06-30,950.099976,955.000000,939.299988,948.400024,942.315002,497354
2023-07-03,954.000000,968.000000,944.450012,964.150024,957.963928,440000
2023-07-04,969.000000,970.000000,953.000000,956.900024,950.760498,406496
2023-07-05,956.099976,965.849976,948.799988,961.049988,954.883789,232384
2023-07-06,959.950012,979.299988,956.000000,975.599976,969.340454,560948
2023-07-07,979.000000,980.000000,957.099976,961.650024,955.479980,359447
2023-07-10,961.950012,963.450012,951.099976,960.700012,954.536072,292382
2023-07-11,964.900024,968.099976,954.950012,964.349976,958.162598,290711
2023-07-12,966.000000,967.849976,955.049988,959.299988,953.145020,134151
2023-07-13,963.000000,963.000000,933.299988,935.150024,929.150024,326072
2023-07-14,930.000000,947.849976,921.250000,944.099976,944.099976,1073070
2023-07-17,944.000000,974.000000,944.000000,960.450012,960.450012,420915
2023-07-18,965.000000,973.650024,942.000000,958.299988,958.299988,319680
