Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,407.549988,415.700012,398.850006,412.149994,410.644714,374587
2023-01-06,414.600006,414.750000,406.399994,410.450012,408.950928,148131
2023-01-09,413.000000,416.200012,407.000000,409.750000,408.253479,91636
2023-01-10,411.700012,416.899994,407.049988,413.799988,412.288666,116266
2023-01-11,415.799988,423.549988,399.200012,401.500000,400.033600,592426
2023-01-12,407.000000,421.399994,402.000000,412.399994,410.893799,701982
2023-01-13,413.600006,414.500000,402.799988,406.149994,404.666626,213205
2023-01-16,406.500000,411.950012,406.200012,409.299988,407.805115,97915
2023-01-17,410.950012,410.950012,398.000000,399.700012,398.240204,198811
2023-01-18,401.399994,403.799988,395.250000,398.000000,396.546387,129658
2023-01-19,396.899994,398.000000,386.549988,387.799988,386.383636,213712
2023-01-20,388.700012,388.700012,378.149994,381.950012,380.555023,433587
2023-01-23,383.700012,384.799988,372.399994,374.549988,373.182037,181146
2023-01-24,375.000000,379.950012,371.000000,374.250000,372.883148,152448
2023-01-25,372.250000,385.299988,368.200012,370.299988,368.947540,285548
2023-01-27,372.200012,380.000000,364.000000,365.799988,364.463989,238982
2023-01-30,365.600006,367.600006,357.950012,361.399994,360.080048,160839
2023-01-31,362.200012,387.799988,361.649994,380.049988,378.661926,987456
2023-02-01,384.700012,390.700012,370.649994,378.399994,377.017975,216873
2023-02-02,375.000000,389.000000,374.000000,379.850006,378.462677,244978
2023-02-03,381.200012,390.700012,377.500000,380.700012,379.309601,701163
2023-02-06,392.950012,417.850006,389.950012,412.350006,410.843994,1958634
2023-02-07,414.399994,423.700012,398.000000,400.850006,399.385986,830316
2023-02-08,401.000000,429.000000,398.399994,425.000000,423.447784,1119728
2023-02-09,423.700012,443.950012,421.049988,439.200012,437.595947,637563
2023-02-10,440.000000,448.450012,433.000000,442.700012,441.083160,466015
2023-02-13,443.450012,445.600006,433.000000,441.000000,439.389343,257146
2023-02-14,437.100006,461.149994,437.100006,455.000000,453.338226,564547
2023-02-15,453.049988,456.399994,435.049988,441.799988,440.186401,286883
2023-02-16,440.000000,454.899994,440.000000,448.399994,446.762329,218372
2023-02-17,449.000000,460.000000,439.600006,446.250000,444.620178,252316
2023-02-20,445.049988,468.000000,438.049988,453.549988,451.893494,564606
2023-02-21,455.799988,465.950012,447.299988,459.450012,457.771973,352865
2023-02-22,456.899994,466.750000,452.549988,462.549988,460.860626,251771
2023-02-23,463.799988,465.250000,445.000000,447.850006,446.214325,174900
2023-02-24,449.899994,457.350006,439.200012,443.950012,442.328583,146015
2023-02-27,443.950012,445.500000,425.100006,429.149994,427.582611,175307
2023-02-28,431.299988,474.600006,429.200012,467.950012,466.240936,1581926
2023-03-01,462.000000,480.250000,456.200012,476.950012,475.208069,647364
2023-03-02,473.500000,483.000000,473.500000,477.500000,475.756042,212940
2023-03-03,478.000000,485.299988,462.799988,468.100006,466.390381,200803
2023-03-06,472.700012,481.200012,470.049988,475.399994,473.663696,163902
2023-03-08,475.500000,479.600006,461.100006,466.750000,465.045288,139056
2023-03-09,465.000000,472.899994,465.000000,468.700012,466.988190,97076
2023-03-10,466.000000,471.799988,460.350006,469.000000,467.287079,82399
2023-03-13,472.000000,494.000000,470.350006,477.950012,476.204407,1106744
2023-03-14,477.950012,479.000000,463.500000,474.899994,473.165527,161930
2023-03-15,479.250000,493.000000,477.500000,485.049988,483.278442,368241
2023-03-16,483.799988,483.799988,470.700012,478.899994,477.150909,102745
2023-03-17,481.299988,494.549988,471.049988,488.250000,486.466766,194639
2023-03-20,490.000000,493.000000,476.899994,479.750000,477.997833,90335
2023-03-21,482.149994,482.299988,469.000000,471.850006,470.126678,293263
2023-03-22,470.549988,476.000000,468.750000,473.850006,472.119385,52301
2023-03-23,471.250000,488.950012,470.850006,479.700012,477.948029,131834
2023-03-24,480.299988,481.600006,465.450012,467.500000,465.792572,111763
2023-03-27,467.500000,469.850006,439.000000,446.299988,444.669983,145571
2023-03-28,445.799988,452.200012,421.200012,425.000000,423.447784,242253
2023-03-29,425.000000,440.950012,421.000000,428.299988,426.735718,241992
2023-03-31,428.299988,446.649994,428.299988,438.149994,436.549744,203448
2023-04-03,438.149994,453.750000,430.000000,433.649994,432.066193,189591
2023-04-05,432.350006,471.450012,432.000000,466.399994,464.696564,2182260
2023-04-06,464.000000,472.000000,458.850006,463.950012,462.255554,265476
2023-04-10,463.950012,477.899994,461.000000,466.399994,464.696564,229322
2023-04-11,466.399994,475.649994,465.000000,467.450012,465.742767,129041
2023-04-12,467.450012,471.500000,464.049988,466.899994,465.194733,76012
2023-04-13,466.000000,479.500000,462.350006,466.200012,464.497314,166363
2023-04-17,465.399994,475.000000,462.299988,472.850006,471.123016,134846
2023-04-18,472.850006,483.000000,471.250000,475.600006,473.862976,171734
2023-04-19,475.450012,512.200012,475.000000,505.850006,504.002502,1123284
2023-04-20,510.049988,514.900024,501.600006,507.649994,505.795929,417004
2023-04-21,505.299988,505.299988,488.399994,492.600006,490.800903,313398
2023-04-24,491.899994,496.500000,480.549988,482.000000,480.239594,197679
2023-04-25,483.950012,493.450012,471.549988,475.200012,473.464447,232751
2023-04-26,475.200012,484.250000,468.000000,470.549988,468.831421,220596
