Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,5006.200195,5056.000000,5000.000000,5018.950195,4944.228027,1559
2023-01-06,5007.000000,5039.899902,4983.000000,4996.549805,4922.160645,2936
2023-01-09,4990.000000,5015.000000,4976.000000,4978.799805,4904.675293,920
2023-01-10,4981.350098,5025.049805,4960.049805,4966.600098,4892.657227,1578
2023-01-11,4955.049805,4989.000000,4940.000000,4977.350098,4903.247070,1171
2023-01-12,4960.000000,4994.950195,4905.950195,4928.500000,4855.124023,1604
2023-01-13,4922.350098,5007.000000,4922.350098,4983.850098,4909.649902,2178
2023-01-16,4958.000000,5021.950195,4958.000000,4990.200195,4915.905762,1762
2023-01-17,4990.950195,5003.750000,4976.000000,4976.799805,4902.705078,560
2023-01-18,4976.850098,5004.000000,4955.000000,4960.649902,4886.795410,1309
2023-01-19,4960.000000,4976.950195,4935.100098,4945.750000,4872.117676,1701
2023-01-20,4986.899902,4986.899902,4926.750000,4934.850098,4861.379883,1536
2023-01-23,4913.000000,4945.450195,4913.000000,4929.049805,4855.665527,516
2023-01-24,4945.350098,4945.350098,4918.000000,4935.649902,4862.167480,627
2023-01-25,4948.000000,4950.000000,4901.250000,4914.250000,4841.086426,779
2023-01-27,4882.100098,4919.950195,4850.000000,4869.950195,4797.446289,2165
2023-01-30,4880.000000,4916.899902,4862.100098,4893.049805,4820.201660,1204
2023-01-31,4917.000000,4917.000000,4870.000000,4890.350098,4817.541992,2535
2023-02-01,4900.000000,4917.000000,4855.350098,4878.149902,4805.523438,2591
2023-02-02,4980.000000,4996.000000,4844.049805,4912.250000,4839.116211,4804
2023-02-03,4915.000000,4967.950195,4893.149902,4927.299805,4853.941895,1172
2023-02-06,4927.299805,4935.000000,4907.850098,4928.100098,4854.729980,1501
2023-02-07,4948.000000,4957.950195,4893.200195,4904.100098,4831.087402,2921
2023-02-08,4910.000000,4950.000000,4898.049805,4916.899902,4843.696777,6906
2023-02-09,4912.000000,4919.950195,4891.000000,4896.549805,4858.231934,1270
2023-02-10,4862.000000,4973.000000,4862.000000,4906.399902,4868.004883,3626
2023-02-13,4900.000000,4906.350098,4819.000000,4834.200195,4796.370117,4019
2023-02-14,4850.899902,4862.799805,4813.000000,4827.149902,4789.375000,1639
2023-02-15,4848.000000,4848.000000,4805.000000,4822.750000,4785.009766,1776
2023-02-16,4834.899902,4869.700195,4834.899902,4853.750000,4815.767090,3075
2023-02-17,4853.799805,4863.299805,4832.100098,4841.899902,4804.009766,1185
2023-02-20,4835.000000,4862.850098,4805.000000,4829.149902,4791.359375,3396
2023-02-21,4833.549805,4850.950195,4750.000000,4777.700195,4740.312500,2692
2023-02-22,4800.000000,4829.799805,4761.000000,4799.899902,4762.338379,3767
2023-02-23,4804.700195,4805.049805,4771.000000,4776.600098,4739.220703,2076
2023-02-24,4776.000000,4820.000000,4775.149902,4799.799805,4762.238770,8448
2023-02-27,4780.000000,4796.200195,4748.000000,4757.649902,4720.418945,1892
2023-02-28,4779.799805,4787.799805,4598.000000,4664.649902,4628.146484,6987
2023-03-01,4674.000000,4680.000000,4646.700195,4654.750000,4618.324219,3814
2023-03-02,4675.000000,4706.000000,4650.100098,4694.600098,4657.862305,2098
2023-03-03,4718.299805,4734.799805,4678.799805,4705.200195,4668.379883,3291
2023-03-06,4708.000000,4730.000000,4695.000000,4704.450195,4667.635742,1857
2023-03-08,4690.000000,4732.450195,4590.000000,4634.500000,4598.232910,9217
2023-03-09,4645.000000,4666.149902,4620.149902,4623.200195,4587.021484,2452
2023-03-10,4601.000000,4624.950195,4590.000000,4593.950195,4558.000488,3414
2023-03-13,4670.000000,4670.000000,4531.049805,4551.000000,4515.386230,7070
2023-03-14,4581.950195,4581.950195,4451.049805,4461.100098,4426.189941,7823
2023-03-15,4471.000000,4497.250000,4423.000000,4436.299805,4401.583496,5657
2023-03-16,4427.399902,4427.799805,4352.149902,4382.649902,4348.353516,5026
2023-03-17,4425.000000,4425.000000,4135.250000,4186.200195,4153.440918,584069
2023-03-20,4270.000000,4334.000000,4140.299805,4303.649902,4269.971680,19150
2023-03-21,4275.000000,4366.600098,4275.000000,4346.600098,4312.585938,9347
2023-03-22,4346.600098,4451.049805,4320.000000,4416.600098,4382.038086,7074
2023-03-23,4437.000000,4440.049805,4320.000000,4351.100098,4317.050781,3991
2023-03-24,4378.399902,4387.000000,4330.049805,4346.100098,4312.089844,3985
2023-03-27,4375.000000,4375.000000,4257.049805,4312.250000,4278.504395,4427
2023-03-28,4290.000000,4360.000000,4278.700195,4315.299805,4281.530273,6084
2023-03-29,4315.299805,4370.000000,4300.250000,4347.399902,4313.379395,6937
2023-03-31,4365.000000,4369.649902,4294.799805,4316.100098,4282.324707,5087
2023-04-03,4340.000000,4381.000000,4232.000000,4265.250000,4231.872070,7500
2023-04-05,4297.899902,4318.899902,4252.399902,4263.399902,4230.036621,6788
2023-04-06,4285.299805,4302.350098,4252.000000,4286.200195,4252.658691,4664
2023-04-10,4286.200195,4368.250000,4270.049805,4359.100098,4324.987793,4868
2023-04-11,4350.000000,4430.000000,4350.000000,4422.850098,4388.239258,13050
2023-04-12,4490.000000,4490.000000,4382.000000,4400.399902,4365.964844,10629
2023-04-13,4425.200195,4440.000000,4364.899902,4378.700195,4344.434570,4601
2023-04-17,4315.000000,4380.000000,4315.000000,4378.549805,4344.285645,14715
2023-04-18,4380.000000,4399.399902,4336.100098,4359.200195,4325.087402,4005
2023-04-19,4370.000000,4400.000000,4291.000000,4328.850098,4294.974609,9039
2023-04-20,4353.950195,4370.950195,4266.100098,4283.399902,4249.880371,7050
2023-04-21,4286.100098,4320.049805,4271.100098,4293.700195,4260.100098,12387
2023-04-24,4295.100098,4346.000000,4275.000000,4320.500000,4286.689941,1975
