Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,1904.800049,1924.0,1872.050049,1919.800049,1907.736206,78814,Grindwell Norton
2023-01-06,1920.0,1941.349976,1906.400024,1936.150024,1923.983521,76393,Grindwell Norton
2023-01-09,1945.800049,1957.0,1908.0,1950.849976,1938.591064,41986,Grindwell Norton
2023-01-10,1951.0,1959.949951,1919.949951,1937.699951,1925.523682,44519,Grindwell Norton
2023-01-11,1940.0,1979.0,1927.599976,1937.099976,1924.92749,36495,Grindwell Norton
2023-01-12,1946.75,1975.0,1925.050049,1960.0,1947.683594,27100,Grindwell Norton
2023-01-13,1971.050049,1978.949951,1927.199951,1936.099976,1923.933716,22636,Grindwell Norton
2023-01-16,1947.0,2000.0,1934.550049,1989.449951,1976.948486,116753,Grindwell Norton
2023-01-17,2000.0,2000.0,1950.0,1963.699951,1951.360352,116343,Grindwell Norton
2023-01-18,1973.550049,1974.0,1930.0,1940.300049,1928.107422,525180,Grindwell Norton
2023-01-19,1940.0,1965.0,1925.550049,1959.400024,1947.087402,18863,Grindwell Norton
2023-01-20,1969.699951,1971.800049,1925.0,1936.400024,1924.231934,10396,Grindwell Norton
2023-01-23,1946.099976,1951.0,1894.400024,1930.900024,1918.766479,33273,Grindwell Norton
2023-01-24,1936.0,2000.0,1924.099976,1945.150024,1932.92688,91432,Grindwell Norton
2023-01-25,1947.550049,1978.400024,1930.0,1969.25,1956.875488,14055,Grindwell Norton
2023-01-27,1978.400024,2000.0,1924.0,1953.949951,1941.671509,27824,Grindwell Norton
2023-01-30,1959.650024,1991.699951,1934.900024,1942.949951,1930.740723,64474,Grindwell Norton
2023-01-31,1958.650024,2001.0,1931.599976,1997.0,1984.45105,89387,Grindwell Norton
2023-02-01,1999.0,2000.0,1945.900024,1986.900024,1974.414551,32773,Grindwell Norton
2023-02-02,1984.0,2000.0,1967.75,1980.199951,1967.756592,76495,Grindwell Norton
2023-02-03,1992.949951,2050.0,1975.0,2030.25,2017.492188,194362,Grindwell Norton
2023-02-06,2026.050049,2123.5,2016.199951,2084.100098,2071.003906,76729,Grindwell Norton
2023-02-07,2082.0,2141.850098,2042.050049,2130.300049,2116.913574,64526,Grindwell Norton
2023-02-08,2140.949951,2149.149902,2095.050049,2141.199951,2127.744873,59814,Grindwell Norton
2023-02-09,2149.0,2149.0,2061.350098,2070.149902,2057.141357,33617,Grindwell Norton
2023-02-10,2053.100098,2058.100098,2002.199951,2024.550049,2011.828003,44258,Grindwell Norton
2023-02-13,2024.949951,2024.949951,1959.050049,1974.550049,1962.142212,36335,Grindwell Norton
2023-02-14,1987.0,2014.0,1979.0,1992.599976,1980.078735,41533,Grindwell Norton
2023-02-15,1992.599976,1993.599976,1926.0,1966.5,1954.1427,44263,Grindwell Norton
2023-02-16,1976.900024,1985.949951,1908.050049,1935.800049,1923.635742,55485,Grindwell Norton
2023-02-17,1938.0,1982.0,1923.050049,1975.699951,1963.284912,17832,Grindwell Norton
2023-02-20,2000.0,2018.949951,1938.800049,1962.0,1949.671021,41178,Grindwell Norton
2023-02-21,1960.0,1965.650024,1925.0,1940.800049,1928.604248,39306,Grindwell Norton
2023-02-22,1946.949951,1970.449951,1918.300049,1949.5,1937.249634,36481,Grindwell Norton
2023-02-23,1959.800049,1959.800049,1905.050049,1913.099976,1901.078247,24369,Grindwell Norton
2023-02-24,1913.099976,1928.949951,1866.650024,1904.199951,1892.234131,35167,Grindwell Norton
2023-02-27,1900.0,1900.0,1836.0,1845.5,1833.903076,39712,Grindwell Norton
2023-02-28,1848.949951,1875.400024,1790.900024,1804.699951,1793.359375,66984,Grindwell Norton
2023-03-01,1814.949951,1867.949951,1813.0,1823.300049,1811.842651,43183,Grindwell Norton
2023-03-02,1832.400024,1832.400024,1802.0,1810.699951,1799.321777,49263,Grindwell Norton
2023-03-03,1814.949951,1825.449951,1807.800049,1815.599976,1804.190918,140418,Grindwell Norton
2023-03-06,1820.400024,1874.0,1791.0,1805.050049,1793.707275,235937,Grindwell Norton
2023-03-08,1810.0,1850.0,1794.199951,1801.300049,1789.980957,40062,Grindwell Norton
2023-03-09,1810.75,1819.800049,1791.050049,1809.5,1798.129272,46002,Grindwell Norton
2023-03-10,1800.0,1830.0,1789.75,1825.199951,1813.730591,50488,Grindwell Norton
2023-03-13,1836.800049,1837.0,1801.150024,1813.75,1802.352661,65873,Grindwell Norton
2023-03-14,1818.900024,1820.0,1790.0,1798.949951,1787.645508,12956,Grindwell Norton
2023-03-15,1807.75,1807.75,1720.25,1790.849976,1779.596436,98709,Grindwell Norton
