Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,141.000000,141.199997,138.800003,140.449997,139.279099,2394369
2023-01-06,140.649994,141.600006,138.600006,139.149994,137.989929,2059984
2023-01-09,140.800003,142.449997,140.199997,141.399994,140.221176,2987464
2023-01-10,141.399994,143.199997,140.649994,141.699997,140.518677,3360177
2023-01-11,142.649994,143.000000,140.600006,141.850006,140.667435,2683025
2023-01-12,142.500000,142.600006,140.550003,141.399994,140.221176,2209469
2023-01-13,142.000000,142.250000,140.600006,141.649994,140.469086,2106087
2023-01-16,142.000000,142.899994,140.300003,140.750000,139.576599,2848783
2023-01-17,141.199997,141.300003,138.600006,139.899994,138.733673,2612368
2023-01-18,140.000000,140.350006,139.199997,139.500000,138.337021,1483758
2023-01-19,138.949997,139.199997,137.550003,138.500000,137.345352,2235539
2023-01-20,138.500000,138.800003,134.800003,135.699997,134.568695,2769418
2023-01-23,134.800003,139.399994,134.149994,138.699997,137.543686,4204797
2023-01-24,138.149994,140.250000,137.850006,138.750000,137.593277,3381979
2023-01-25,138.699997,139.949997,136.600006,136.899994,135.758682,3331778
2023-01-27,137.600006,138.149994,132.000000,134.250000,133.130783,3722486
2023-01-30,134.250000,136.449997,133.699997,135.350006,134.221619,2520568
2023-01-31,135.850006,138.899994,134.949997,138.600006,137.444534,2391135
2023-02-01,139.300003,140.149994,134.350006,136.750000,135.609940,3455126
2023-02-02,136.750000,139.550003,135.399994,138.750000,137.593277,3212837
2023-02-03,139.399994,139.399994,136.399994,138.250000,137.097443,2476250
2023-02-06,137.949997,140.000000,137.000000,139.550003,138.386612,3305043
2023-02-07,139.699997,139.800003,137.300003,138.050003,136.899109,2194132
2023-02-08,138.100006,138.600006,137.000000,138.100006,136.948700,2301525
2023-02-09,138.199997,138.699997,135.399994,135.649994,134.519104,3533577
2023-02-10,135.699997,136.850006,134.500000,134.949997,133.824951,2721918
2023-02-13,138.000000,138.000000,133.449997,133.850006,132.734131,3323982
2023-02-14,134.250000,134.500000,132.500000,133.399994,132.287872,2056516
2023-02-15,133.399994,135.800003,133.199997,134.350006,133.229965,4614181
2023-02-16,134.750000,136.399994,134.550003,136.149994,135.014938,1879323
2023-02-17,135.449997,136.500000,134.600006,135.449997,134.320786,3464017
2023-02-20,135.600006,139.300003,135.050003,138.250000,137.097443,4709889
2023-02-21,139.000000,145.649994,138.199997,144.050003,142.849091,16677715
2023-02-22,144.050003,146.399994,142.649994,145.500000,144.287003,12020712
2023-02-23,145.600006,145.850006,141.350006,142.050003,140.865768,5625794
2023-02-24,142.800003,145.750000,142.149994,143.850006,142.650757,4607346
2023-02-27,144.100006,144.350006,141.000000,143.000000,141.807846,3757200
2023-02-28,143.000000,145.000000,142.000000,144.550003,143.344925,3126399
2023-03-01,144.899994,148.250000,143.899994,147.500000,146.270325,6600929
2023-03-02,147.800003,148.800003,147.000000,147.800003,146.567825,4292476
2023-03-03,148.399994,149.199997,145.000000,145.300003,144.088669,4988573
2023-03-06,145.449997,147.800003,143.600006,146.699997,145.476990,5965477
2023-03-08,146.399994,149.000000,145.350006,148.750000,147.509903,4133152
2023-03-09,149.550003,152.199997,147.399994,148.149994,146.914902,8075892
2023-03-10,145.500000,150.199997,145.500000,148.899994,147.658646,5092312
2023-03-13,149.350006,149.649994,142.649994,143.199997,142.006165,6926584
2023-03-14,143.000000,146.149994,142.050003,145.300003,144.088669,4928772
2023-03-15,147.199997,153.800003,147.199997,151.449997,150.187393,24728907
2023-03-16,151.300003,152.800003,148.500000,152.199997,150.931137,7008028
2023-03-17,152.850006,154.600006,150.600006,151.399994,150.137802,5966519
2023-03-20,150.500000,151.250000,147.199997,150.449997,149.195724,4965610
2023-03-21,150.500000,151.949997,149.449997,150.149994,148.898224,3161625
2023-03-22,150.149994,151.199997,149.100006,149.850006,148.600739,2056547
2023-03-23,149.449997,150.399994,147.149994,147.949997,146.716568,2342064
2023-03-24,147.899994,147.899994,142.199997,142.949997,141.758255,3671465
2023-03-27,142.949997,143.000000,133.500000,134.149994,133.031616,7585816
2023-03-28,133.899994,134.300003,127.400002,127.949997,126.883308,11174628
2023-03-29,127.300003,130.500000,125.800003,128.600006,127.527893,10720997
2023-03-31,129.199997,131.750000,127.449997,127.949997,126.883308,10429836
2023-04-03,129.649994,134.449997,128.899994,133.850006,132.734131,8599988
2023-04-05,134.500000,136.850006,132.699997,136.500000,135.362030,8358474
2023-04-06,137.500000,151.899994,136.750000,150.850006,149.592407,44174907
2023-04-10,150.850006,153.199997,148.500000,152.500000,151.228638,17163043
2023-04-11,152.500000,157.000000,151.199997,155.949997,154.649872,11607279
2023-04-12,156.399994,157.250000,153.850006,155.699997,154.401962,10608363
2023-04-13,156.000000,157.100006,154.250000,154.800003,153.509476,5215575
2023-04-17,154.149994,154.850006,152.699997,154.100006,152.815308,3442134
2023-04-18,154.500000,156.850006,153.000000,153.850006,152.567398,5174823
2023-04-19,153.500000,154.350006,152.449997,152.850006,151.575729,3136352
2023-04-20,153.100006,155.149994,151.600006,153.850006,152.567398,3611626
2023-04-21,153.399994,154.899994,152.449997,153.699997,152.418640,4465533
2023-04-24,154.000000,155.100006,152.600006,152.850006,151.575729,4238634
2023-04-25,153.649994,153.750000,151.800003,152.199997,150.931137,2947498
2023-04-26,152.199997,152.850006,151.399994,152.199997,150.931137,4237477
2023-04-27,152.199997,152.899994,151.000000,152.199997,150.931137,3492068
2023-04-28,152.449997,156.899994,152.000000,156.550003,155.244873,7276330
2023-05-02,157.500000,157.699997,154.550003,155.199997,153.906128,7246709
2023-05-03,154.899994,157.500000,154.500000,155.500000,154.203629,4398958
2023-05-04,155.500000,157.100006,154.199997,155.850006,154.550720,4137122
2023-05-05,155.850006,162.149994,155.850006,158.250000,156.930710,17620263
2023-05-08,159.000000,160.949997,158.000000,160.050003,158.715698,5352643
2023-05-09,160.399994,162.149994,159.399994,160.399994,159.062775,6360124
2023-05-10,161.600006,162.800003,160.449997,161.800003,160.451111,5782885
2023-05-11,162.350006,163.750000,160.149994,162.550003,161.194855,4817736
2023-05-12,162.149994,163.500000,157.050003,158.199997,156.881119,7588446
2023-05-15,158.199997,158.500000,152.500000,155.800003,154.501129,8214051
2023-05-16,155.449997,162.000000,155.000000,159.199997,157.872787,8224221
2023-05-17,160.050003,160.750000,157.500000,159.350006,158.021545,6772095
2023-05-18,159.350006,162.899994,158.449997,159.100006,157.773621,6144795
2023-05-19,160.100006,160.100006,157.600006,158.949997,157.624863,4427580
2023-05-22,158.949997,158.949997,154.250000,155.649994,154.352371,5899869
2023-05-23,156.000000,157.800003,155.750000,156.649994,155.344040,3068702
2023-05-24,156.399994,157.449997,155.100006,155.750000,154.451553,2869512
2023-05-25,155.750000,156.649994,154.300003,155.500000,154.203629,3768295
2023-05-26,156.050003,159.399994,154.350006,155.800003,154.501129,6172298
2023-05-29,156.149994,157.899994,154.800003,155.100006,153.806976,3914243
2023-05-30,155.300003,155.449997,152.500000,153.699997,152.418640,3549026
2023-05-31,153.699997,155.050003,152.699997,153.000000,151.724472,1993319
2023-06-01,153.850006,155.000000,153.000000,153.449997,152.170715,2216723
2023-06-02,154.100006,154.350006,152.550003,152.750000,151.476563,1674551
2023-06-05,153.199997,153.949997,152.500000,153.199997,151.922806,2919012
2023-06-06,153.750000,153.750000,146.600006,147.199997,145.972824,11143867
2023-06-07,147.300003,149.550003,145.449997,148.699997,147.460312,6665847
2023-06-08,149.649994,150.949997,135.350006,136.449997,135.312439,24010073
2023-06-09,128.000000,130.000000,116.000000,122.599998,121.577911,146159814
2023-06-12,126.000000,127.000000,123.050003,123.599998,122.569572,36392534
2023-06-13,123.800003,125.449997,123.800003,125.150002,124.106651,13246858
2023-06-14,125.500000,125.750000,123.099998,123.349998,122.321655,11355031
2023-06-15,123.500000,125.900002,123.500000,124.849998,123.809151,9763522
2023-06-16,125.449997,126.400002,124.199997,125.800003,124.751236,9508717
2023-06-19,126.000000,129.300003,126.000000,128.750000,127.676636,13447079
2023-06-20,129.899994,132.500000,128.800003,130.699997,129.610382,19846063
2023-06-21,131.250000,131.550003,128.000000,128.350006,127.279984,8866011
2023-06-22,129.000000,129.250000,126.349998,126.699997,125.643730,6706174
2023-06-23,127.000000,128.899994,124.750000,127.199997,126.139557,7786678
2023-06-26,127.599998,129.649994,126.250000,129.449997,128.370804,6021252
2023-06-27,129.899994,130.199997,127.599998,128.100006,127.032066,5773768
2023-06-28,128.100006,128.100006,128.100006,128.100006,127.032066,0
2023-06-30,127.000000,128.399994,126.750000,127.099998,126.040390,4393190
2023-07-03,127.599998,128.199997,126.599998,126.800003,125.742897,3201986
2023-07-04,127.500000,128.000000,124.199997,124.650002,123.610825,8303656
2023-07-05,124.650002,128.000000,124.500000,126.000000,124.949562,8286761
2023-07-06,126.349998,127.449997,125.800003,126.699997,125.643730,5863594
2023-07-07,127.000000,127.500000,124.800003,125.400002,124.354568,7122820
2023-07-10,125.750000,125.900002,123.050003,123.699997,122.668739,7069687
2023-07-11,124.150002,125.349998,123.699997,123.900002,122.867073,5114917
2023-07-12,124.000000,124.599998,123.000000,123.550003,122.519997,4440548
2023-07-13,123.800003,124.300003,120.500000,121.599998,120.586243,6395490
2023-07-14,122.000000,124.000000,120.699997,123.750000,122.718323,6508426
2023-07-17,124.099998,124.800003,123.750000,124.550003,123.511658,4861204
2023-07-18,124.550003,124.849998,122.550003,123.099998,122.073738,5189883
2023-07-19,123.099998,125.550003,122.550003,124.849998,123.809151,6931772
2023-07-20,124.800003,126.050003,123.900002,124.099998,123.065407,4685402
2023-07-21,124.000000,124.650002,123.349998,123.599998,122.569572,3548501
2023-07-24,124.000000,124.750000,122.699997,123.449997,122.420822,5683016
2023-07-25,123.699997,124.000000,122.800003,123.400002,122.371246,4530828
2023-07-26,123.500000,125.199997,123.500000,124.400002,123.362907,4553503
2023-07-27,125.400002,125.500000,119.000000,119.949997,118.949997,16559787
2023-07-28,119.900002,124.500000,119.800003,122.599998,122.599998,14041684
2023-07-31,122.599998,124.000000,122.400002,122.650002,122.650002,5110124
2023-08-01,123.750000,129.149994,122.800003,127.400002,127.400002,25952769
2023-08-02,128.100006,130.250000,125.300003,126.900002,126.900002,16320596
2023-08-03,127.000000,128.100006,125.000000,126.099998,126.099998,6271426
2023-08-04,126.500000,128.449997,126.300003,127.050003,127.050003,5931555
2023-08-07,128.300003,129.550003,126.349998,126.900002,126.900002,7795096
2023-08-08,127.800003,130.199997,127.000000,129.050003,129.050003,10649648
2023-08-09,129.800003,131.899994,127.800003,130.600006,130.600006,8299335
2023-08-10,131.199997,132.000000,128.699997,129.100006,129.100006,6042570
2023-08-11,129.399994,130.600006,128.100006,128.500000,128.500000,3337141
2023-08-14,128.699997,128.949997,125.050003,126.199997,126.199997,4792415
2023-08-16,126.199997,126.900002,124.699997,125.199997,125.199997,3313400
2023-08-17,125.449997,128.750000,125.250000,126.349998,126.349998,8678589
2023-08-18,126.300003,126.300003,123.300003,123.900002,123.900002,5678845
2023-08-21,124.500000,125.199997,123.750000,124.349998,124.349998,5900772
2023-08-22,123.449997,125.550003,121.849998,124.500000,124.500000,9110965
2023-08-23,124.500000,125.900002,123.000000,125.050003,125.050003,6299011
2023-08-24,125.849998,126.949997,124.599998,124.900002,124.900002,5513509
2023-08-25,124.800003,125.699997,123.750000,124.150002,124.150002,3636352
2023-08-28,124.300003,125.300003,124.099998,124.900002,124.900002,4194834
2023-08-29,125.000000,126.099998,124.599998,125.550003,125.550003,4244434
2023-08-30,125.599998,126.900002,125.599998,126.150002,126.150002,4477959
2023-08-31,126.550003,127.349998,125.500000,126.199997,126.199997,4504456
2023-09-01,126.500000,132.399994,126.449997,131.750000,131.750000,24975343
2023-09-04,133.550003,137.899994,131.600006,137.100006,137.100006,23462325
2023-09-05,141.100006,141.899994,136.649994,138.100006,138.100006,30369092
2023-09-06,138.800003,139.350006,135.300003,137.000000,137.000000,10441454
2023-09-07,138.050003,139.300003,135.699997,138.000000,138.000000,9580120
2023-09-08,138.800003,143.399994,138.100006,142.000000,142.000000,32912701
2023-09-11,143.050003,143.449997,138.500000,140.199997,140.199997,13732090
2023-09-12,140.500000,140.699997,132.100006,132.600006,132.600006,18265094
2023-09-13,132.649994,134.750000,131.449997,134.350006,134.350006,7407709
2023-09-14,134.750000,135.850006,134.050003,134.850006,134.850006,5626314
2023-09-15,135.149994,136.800003,133.250000,134.350006,134.350006,5623303
2023-09-18,134.949997,135.250000,132.500000,133.000000,133.000000,5671439
2023-09-20,133.000000,133.850006,130.699997,133.000000,133.000000,5144120
2023-09-21,132.350006,135.800003,131.000000,131.600006,131.600006,8349230
2023-09-22,131.800003,133.000000,130.300003,130.750000,130.750000,4063159
2023-09-25,131.000000,131.550003,129.750000,131.149994,131.149994,3784939
2023-09-26,131.199997,133.399994,130.750000,131.750000,131.750000,5458834
2023-09-27,131.750000,132.350006,130.149994,132.100006,132.100006,3605330
2023-09-28,132.600006,134.850006,130.649994,131.050003,131.050003,8359304
2023-09-29,131.750000,133.000000,131.300003,132.199997,132.199997,3741421
2023-10-03,132.100006,133.449997,130.750000,133.000000,133.000000,6952556
2023-10-04,133.000000,133.050003,128.100006,129.649994,129.649994,6162256
2023-10-05,132.250000,135.250000,131.199997,133.199997,133.199997,14465801
2023-10-06,133.949997,134.449997,132.300003,133.800003,133.800003,5965536
2023-10-09,132.000000,132.899994,129.550003,131.500000,131.500000,6882229
2023-10-10,131.850006,134.699997,131.699997,134.000000,134.000000,6092059
2023-10-11,134.399994,134.850006,133.000000,133.199997,133.199997,3121635
2023-10-12,133.300003,135.800003,133.050003,134.899994,134.899994,6422651
2023-10-13,134.100006,136.699997,134.100006,134.500000,134.500000,5102465
2023-10-16,134.500000,136.149994,133.350006,135.100006,135.100006,4368903
2023-10-17,135.250000,137.100006,135.250000,136.000000,136.000000,5814184
2023-10-18,136.000000,136.750000,133.100006,133.600006,133.600006,4565702
2023-10-19,133.100006,135.000000,132.100006,133.699997,133.699997,3708535
2023-10-20,133.500000,134.100006,130.699997,131.149994,131.149994,3731323
2023-10-23,131.199997,132.100006,125.500000,126.300003,126.300003,5140453
2023-10-25,127.000000,128.000000,123.650002,124.449997,124.449997,4250719
2023-10-26,124.400002,124.400002,121.349998,123.449997,123.449997,4744258
2023-10-27,124.650002,125.500000,123.949997,124.949997,124.949997,4382722
2023-10-30,125.500000,125.900002,124.349998,125.300003,125.300003,2876345
2023-10-31,126.000000,126.449997,124.599998,125.849998,125.849998,4357528
2023-11-01,126.199997,126.349998,124.599998,124.849998,124.849998,2391121
2023-11-02,125.500000,126.849998,125.199997,126.650002,126.650002,3115957
2023-11-03,129.000000,129.899994,127.400002,127.599998,127.599998,6888797
2023-11-06,127.900002,134.850006,127.800003,133.449997,133.449997,14494493
2023-11-07,132.100006,134.399994,131.649994,133.000000,133.000000,5857185
2023-11-08,133.500000,134.000000,132.149994,132.399994,132.399994,2617325
2023-11-09,133.100006,133.100006,131.000000,131.149994,131.149994,2288878
2023-11-10,131.199997,131.750000,129.850006,131.449997,131.449997,2133417
2023-11-13,132.149994,134.149994,131.000000,132.500000,132.500000,4358362
2023-11-15,133.699997,136.750000,132.899994,135.500000,135.500000,8080904
2023-11-16,136.000000,138.699997,135.600006,136.100006,136.100006,9696133
2023-11-17,136.800003,138.949997,135.850006,138.050003,138.050003,8591473
2023-11-20,138.649994,140.000000,137.000000,138.000000,138.000000,9003780
2023-11-21,138.899994,143.000000,136.550003,141.850006,141.850006,18045021
2023-11-22,142.399994,144.199997,140.100006,143.600006,143.600006,18931728
2023-11-23,150.000000,150.399994,144.699997,145.100006,145.100006,31367331
2023-11-24,145.699997,145.699997,141.199997,142.050003,142.050003,10550802
2023-11-28,142.800003,145.500000,141.600006,144.449997,144.449997,9583712
2023-11-29,145.750000,146.250000,143.100006,143.750000,143.750000,5937995
2023-11-30,144.000000,144.850006,141.600006,143.850006,143.850006,6712211
2023-12-01,144.600006,145.250000,142.250000,142.699997,142.699997,5105259
2023-12-04,145.000000,147.399994,143.449997,144.949997,144.949997,10257368
2023-12-05,147.000000,148.800003,143.300003,143.850006,143.850006,20091497
2023-12-06,144.699997,149.300003,144.199997,147.750000,147.750000,16256391
2023-12-07,148.399994,159.899994,146.800003,157.750000,157.750000,56706512
2023-12-08,158.000000,160.000000,150.449997,152.699997,152.699997,22244444
2023-12-11,153.399994,156.149994,152.699997,153.600006,153.600006,9152525
2023-12-12,154.449997,154.449997,150.300003,151.300003,151.300003,7491560
2023-12-13,151.600006,154.000000,151.500000,153.100006,153.100006,6661884
2023-12-14,154.000000,154.949997,152.000000,152.550003,152.550003,6055516
2023-12-15,153.399994,153.750000,150.600006,151.000000,151.000000,6120176
2023-12-18,151.000000,155.949997,150.000000,153.100006,153.100006,10954977
2023-12-19,153.550003,155.800003,151.600006,154.199997,154.199997,8137617
2023-12-20,155.000000,157.050003,142.300003,143.949997,143.949997,16286010
2023-12-21,142.149994,147.899994,140.649994,147.100006,147.100006,9483028
2023-12-22,148.100006,154.500000,146.899994,152.550003,152.550003,15814245
2023-12-26,152.500000,157.300003,151.550003,156.399994,156.399994,21794223
2023-12-27,157.100006,159.500000,153.350006,154.750000,154.750000,11706004
2023-12-28,155.550003,162.750000,154.149994,161.500000,161.500000,36602674
2023-12-29,162.500000,172.300003,162.000000,168.000000,168.000000,78634602
2024-01-01,169.100006,173.350006,166.449997,168.000000,168.000000,29812120
