Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,414.950012,424.600006,413.600006,416.600006,407.948151,598005
2023-01-06,418.750000,419.200012,407.100006,411.100006,402.562378,427888
2023-01-09,414.000000,418.000000,410.799988,414.049988,405.451111,396065
2023-01-10,414.549988,417.850006,411.899994,416.200012,407.556458,376265
2023-01-11,417.600006,422.950012,414.100006,416.950012,408.290924,582906
2023-01-12,419.399994,419.399994,410.250000,414.350006,405.744904,368051
2023-01-13,415.600006,419.750000,409.100006,414.649994,406.038666,551922
2023-01-16,415.000000,417.000000,411.450012,413.049988,404.471863,232639
2023-01-17,413.100006,414.500000,408.600006,410.950012,402.415527,245726
2023-01-18,411.450012,414.649994,408.500000,411.700012,403.149933,319923
2023-01-19,409.100006,412.950012,407.500000,411.750000,403.198883,319881
2023-01-20,410.850006,426.000000,409.250000,422.350006,413.578735,830607
2023-01-23,422.350006,423.000000,410.250000,411.600006,403.052032,405510
2023-01-24,412.100006,412.450012,398.450012,400.750000,392.427338,602761
2023-01-25,401.000000,405.899994,391.899994,396.100006,387.873901,533167
2023-01-27,397.899994,402.399994,380.549988,387.850006,379.795258,469341
2023-01-30,389.799988,402.299988,389.750000,394.600006,386.405060,564199
2023-01-31,396.450012,414.850006,395.500000,412.100006,403.541626,686167
2023-02-01,414.950012,415.399994,390.500000,399.200012,390.909546,598987
2023-02-02,398.600006,411.899994,397.049988,405.950012,397.519348,467673
2023-02-03,408.000000,409.200012,397.100006,400.700012,392.378387,333379
2023-02-06,408.149994,411.299988,404.000000,409.250000,400.750793,575625
2023-02-07,420.500000,424.950012,391.350006,395.799988,387.580109,3301165
2023-02-08,397.000000,402.000000,394.200012,396.799988,388.559357,502514
2023-02-09,397.799988,400.799988,394.950012,396.399994,388.167664,443287
2023-02-10,394.799988,395.500000,390.250000,392.350006,384.201782,321512
2023-02-13,392.450012,395.799988,385.100006,388.850006,380.774475,417402
2023-02-14,389.000000,394.899994,385.049988,386.100006,378.081573,457975
2023-02-15,386.000000,394.799988,386.000000,393.850006,385.670654,448447
2023-02-16,394.649994,396.750000,390.350006,395.500000,387.286377,361937
2023-02-17,390.200012,397.899994,390.100006,396.250000,391.985229,364358
2023-02-20,398.200012,401.950012,392.649994,396.299988,392.034698,479134
2023-02-21,394.549988,398.950012,393.000000,394.350006,390.105682,301424
2023-02-22,391.750000,396.000000,386.000000,391.049988,386.841187,367944
2023-02-23,391.000000,395.450012,387.950012,391.500000,387.286346,259080
2023-02-24,392.500000,394.000000,390.200012,391.649994,387.434753,236219
