Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,3722.949951,3724.0,3617.0,3641.550049,3599.398926,226169,LTMindtree
2023-01-06,3655.0,3674.899902,3606.550049,3624.600098,3582.64502,161385,LTMindtree
2023-01-09,3666.350098,3727.0,3603.149902,3671.050049,3628.557373,226638,LTMindtree
2023-01-10,3670.399902,3670.399902,3605.0,3639.050049,3596.927734,110148,LTMindtree
2023-01-11,3639.050049,3723.649902,3612.0,3628.0,3586.005615,203457,LTMindtree
2023-01-12,3649.050049,3668.699951,3622.149902,3642.800049,3600.634277,190518,LTMindtree
2023-01-13,3575.0,3580.0,3404.199951,3448.75,3408.830322,1302790,LTMindtree
2023-01-16,3458.0,3494.0,3418.0,3431.100098,3391.38501,328273,LTMindtree
2023-01-17,3437.0,3459.600098,3400.0,3409.699951,3370.232422,177202,LTMindtree
2023-01-18,3422.0,3439.800049,3407.350098,3419.100098,3379.523682,343926,LTMindtree
2023-01-19,3400.0,3418.199951,3375.0,3397.149902,3357.827637,324803,LTMindtree
2023-01-20,3325.0,3352.050049,3215.850098,3230.699951,3193.304443,1007955,LTMindtree
2023-01-23,3258.0,3336.5,3226.0,3322.899902,3284.437012,490125,LTMindtree
2023-01-24,3349.0,3490.0,3333.100098,3425.949951,3386.294434,1068918,LTMindtree
2023-01-25,3417.5,3421.0,3301.0,3309.399902,3271.093506,320245,LTMindtree
2023-01-27,3333.399902,3373.899902,3259.25,3296.399902,3258.243896,203156,LTMindtree
2023-01-30,3302.0,3348.399902,3261.0,3302.25,3264.026123,277231,LTMindtree
2023-01-31,3307.5,3348.0,3242.0,3335.899902,3297.286621,271301,LTMindtree
2023-02-01,3357.0,3377.699951,3272.5,3333.0,3294.42041,223873,LTMindtree
2023-02-02,3350.0,3457.25,3346.600098,3440.550049,3400.725342,291981,LTMindtree
2023-02-03,3480.899902,3498.0,3412.649902,3446.949951,3407.05127,230315,LTMindtree
2023-02-06,3435.0,3488.350098,3406.050049,3459.399902,3419.356934,141920,LTMindtree
2023-02-07,3467.0,3482.949951,3425.100098,3446.399902,3406.507568,111080,LTMindtree
2023-02-08,3467.0,3555.0,3465.050049,3543.899902,3502.87915,305514,LTMindtree
2023-02-09,3555.0,3632.0,3531.0,3622.050049,3580.124756,249654,LTMindtree
2023-02-10,3617.0,3636.949951,3580.5,3612.149902,3570.339111,75273,LTMindtree
2023-02-13,3603.899902,3619.949951,3547.0,3581.850098,3540.389893,122987,LTMindtree
2023-02-14,3591.050049,3686.449951,3580.699951,3606.5,3564.754395,272339,LTMindtree
2023-02-15,3605.0,3641.0,3576.0,3621.5,3579.580811,89925,LTMindtree
2023-02-16,3640.0,3792.399902,3628.0,3757.199951,3713.709961,397979,LTMindtree
2023-02-17,3700.0,3740.949951,3653.350098,3694.199951,3651.439209,282038,LTMindtree
2023-02-20,3705.949951,3790.0,3683.199951,3746.600098,3703.23291,248746,LTMindtree
2023-02-21,3765.350098,3808.949951,3724.699951,3754.100098,3710.64624,194418,LTMindtree
2023-02-22,3700.0,3729.0,3662.25,3711.649902,3668.687256,244713,LTMindtree
2023-02-23,3724.949951,3731.649902,3654.0,3706.5,3663.597168,208388,LTMindtree
2023-02-24,3736.649902,3788.0,3695.149902,3708.300049,3665.376221,117247,LTMindtree
2023-02-27,3690.0,3690.0,3568.100098,3653.0,3610.716309,177464,LTMindtree
2023-02-28,3675.0,3703.0,3631.899902,3684.75,3642.098877,196705,LTMindtree
2023-03-01,3703.199951,3759.949951,3685.5,3748.649902,3705.259033,127630,LTMindtree
2023-03-02,3701.0,3720.0,3662.0,3698.399902,3655.590576,261102,LTMindtree
2023-03-03,3735.649902,3760.0,3698.149902,3754.649902,3711.189697,190196,LTMindtree
2023-03-06,3805.949951,3840.0,3700.0,3713.25,3670.268799,265715,LTMindtree
2023-03-08,3684.75,3698.699951,3640.75,3675.350098,3632.807617,157987,LTMindtree
2023-03-09,3678.0,3740.949951,3672.050049,3712.0,3669.033447,164780,LTMindtree
2023-03-10,3666.699951,3674.0,3611.149902,3663.300049,3620.897217,138027,LTMindtree
2023-03-13,3606.300049,3701.0,3606.300049,3648.75,3606.515381,157253,LTMindtree
2023-03-14,3659.75,3669.0,3530.0,3591.050049,3549.483398,205903,LTMindtree
2023-03-15,3644.649902,3653.75,3516.0,3536.0,3495.070801,210431,LTMindtree
2023-03-16,3502.0,3524.0,3452.300049,3481.899902,3441.59668,178263,LTMindtree
2023-03-17,3515.0,3580.899902,3515.0,3570.100098,3528.775879,193847,LTMindtree
2023-03-20,3525.0,3559.949951,3496.0,3528.149902,3487.311523,255103,LTMindtree
2023-03-21,3521.0,3528.149902,3412.0,3426.899902,3387.233398,400505,LTMindtree
2023-03-22,3454.0,3485.0,3405.0,3411.600098,3372.11084,249884,LTMindtree
2023-03-23,3400.0,3412.0,3336.0,3360.899902,3321.997314,243394,LTMindtree
2023-03-24,3373.399902,3402.899902,3336.600098,3385.5,3346.3125,244816,LTMindtree
2023-03-27,3400.0,3425.0,3344.649902,3376.050049,3336.972168,271054,LTMindtree
2023-03-28,3376.0,3389.949951,3302.0,3309.949951,3271.637207,249233,LTMindtree
2023-03-29,3300.0,3394.0,3297.050049,3357.300049,3318.438965,300649,LTMindtree
2023-03-31,3380.0,3399.550049,3342.649902,3378.550049,3339.443115,220687,LTMindtree
2023-04-03,3400.0,3444.0,3370.0,3435.25,3395.486816,196787,LTMindtree
2023-04-05,3430.0,3692.0,3410.300049,3652.5,3610.221924,933702,LTMindtree
2023-04-06,3615.0,3647.0,3581.050049,3597.300049,3555.661133,306172,LTMindtree
2023-04-10,3617.0,3639.0,3550.0,3593.5,3551.905029,202580,LTMindtree
2023-04-11,3542.0,3587.25,3511.0,3543.100098,3502.088623,262776,LTMindtree
2023-04-12,3499.0,3582.649902,3482.0,3569.550049,3528.232178,189114,LTMindtree
2023-04-13,3540.0,3569.5,3501.0,3529.850098,3488.991699,209394,LTMindtree
2023-04-17,3395.0,3442.949951,3310.0,3432.600098,3392.867676,479450,LTMindtree
2023-04-18,3455.850098,3459.0,3406.300049,3450.350098,3410.412109,218698,LTMindtree
2023-04-19,3464.0,3464.0,3411.399902,3435.100098,3395.338623,363695,LTMindtree
2023-04-20,3435.100098,3448.949951,3344.399902,3359.600098,3320.712646,341979,LTMindtree
2023-04-21,3369.949951,3411.050049,3320.050049,3386.75,3347.548096,161937,LTMindtree
2023-04-24,3399.0,3440.0,3375.0,3434.949951,3395.190186,117596,LTMindtree
2023-04-25,3455.0,3464.949951,3392.550049,3425.75,3386.09668,250506,LTMindtree
2023-04-26,3410.050049,3458.0,3399.100098,3446.949951,3407.05127,240934,LTMindtree
2023-04-27,3500.0,3749.0,3500.0,3731.0,3687.813477,1975054,LTMindtree
2023-04-28,3731.0,3873.5,3721.0,3775.25,3731.55127,855661,LTMindtree
2023-05-02,3780.0,3845.399902,3745.25,3805.699951,3761.648926,308645,LTMindtree
2023-05-03,3798.0,3798.0,3715.0,3723.800049,3680.696777,285413,LTMindtree
2023-05-04,3722.0,3764.949951,3699.199951,3725.300049,3682.179443,218410,LTMindtree
2023-05-05,3721.0,3737.0,3670.0,3676.699951,3634.141846,205905,LTMindtree
2023-05-08,3700.0,3752.800049,3670.0,3737.300049,3694.040771,161702,LTMindtree
2023-05-09,3751.0,3820.0,3738.0,3763.5,3719.937256,239795,LTMindtree
