Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,0.57,0.58,0.56,0.57,0.57,2395827.0,MPS Infotecnics Stock
2023-01-06,0.57,0.59,0.56,0.59,0.59,9216139.0,MPS Infotecnics Stock
2023-01-09,0.59,0.6,0.58,0.59,0.59,3407209.0,MPS Infotecnics Stock
2023-01-10,0.59,0.6,0.58,0.58,0.58,1326448.0,MPS Infotecnics Stock
2023-01-11,0.59,0.59,0.57,0.58,0.58,2818664.0,MPS Infotecnics Stock
2023-01-12,0.58,0.58,0.56,0.57,0.57,2341664.0,MPS Infotecnics Stock
2023-01-13,0.57,0.58,0.56,0.57,0.57,3861916.0,MPS Infotecnics Stock
2023-01-16,0.56,0.58,0.56,0.57,0.57,2935439.0,MPS Infotecnics Stock
2023-01-17,0.56,0.57,0.55,0.56,0.56,3374085.0,MPS Infotecnics Stock
2023-01-18,0.55,0.56,0.55,0.55,0.55,3678426.0,MPS Infotecnics Stock
2023-01-19,0.56,0.56,0.55,0.56,0.56,3663961.0,MPS Infotecnics Stock
2023-01-20,0.56,0.56,0.55,0.56,0.56,1985807.0,MPS Infotecnics Stock
2023-01-23,0.55,0.56,0.54,0.54,0.54,3900387.0,MPS Infotecnics Stock
2023-01-24,0.54,0.55,0.53,0.54,0.54,2184574.0,MPS Infotecnics Stock
2023-01-25,0.54,0.54,0.52,0.53,0.53,2580556.0,MPS Infotecnics Stock
2023-01-27,0.54,0.54,0.52,0.53,0.53,2289593.0,MPS Infotecnics Stock
2023-01-30,0.52,0.53,0.51,0.51,0.51,4016936.0,MPS Infotecnics Stock
2023-01-31,0.51,0.53,0.5,0.53,0.53,4746303.0,MPS Infotecnics Stock
2023-02-01,0.52,0.55,0.52,0.55,0.55,5173518.0,MPS Infotecnics Stock
2023-02-02,0.56,0.57,0.55,0.55,0.55,5360934.0,MPS Infotecnics Stock
2023-02-03,0.56,0.56,0.53,0.54,0.54,5178687.0,MPS Infotecnics Stock
2023-02-06,0.53,0.54,0.52,0.52,0.52,3962509.0,MPS Infotecnics Stock
2023-02-07,0.52,0.53,0.51,0.51,0.51,4445136.0,MPS Infotecnics Stock
2023-02-08,0.51,0.52,0.51,0.52,0.52,3651160.0,MPS Infotecnics Stock
2023-02-09,0.51,0.52,0.5,0.51,0.51,3584939.0,MPS Infotecnics Stock
2023-02-10,0.5,0.52,0.5,0.52,0.52,4889238.0,MPS Infotecnics Stock
2023-02-13,0.52,0.52,0.5,0.51,0.51,2648212.0,MPS Infotecnics Stock
2023-02-14,0.51,0.51,0.49,0.5,0.5,5102631.0,MPS Infotecnics Stock
2023-02-15,0.5,0.51,0.49,0.49,0.49,4504685.0,MPS Infotecnics Stock
2023-02-16,0.5,0.51,0.49,0.51,0.51,2267798.0,MPS Infotecnics Stock
2023-02-17,0.51,0.51,0.49,0.51,0.51,2970300.0,MPS Infotecnics Stock
2023-02-20,0.5,0.51,0.49,0.49,0.49,4099933.0,MPS Infotecnics Stock
2023-02-21,0.48,0.48,0.47,0.47,0.47,2133514.0,MPS Infotecnics Stock
2023-02-22,0.46,0.47,0.45,0.46,0.46,3506681.0,MPS Infotecnics Stock
2023-02-23,0.45,0.48,0.45,0.47,0.47,2406122.0,MPS Infotecnics Stock
2023-02-24,0.46,0.48,0.46,0.47,0.47,3854208.0,MPS Infotecnics Stock
2023-02-27,0.46,0.47,0.45,0.46,0.46,2976074.0,MPS Infotecnics Stock
2023-02-28,0.46,0.47,0.45,0.45,0.45,5638857.0,MPS Infotecnics Stock
2023-03-01,0.46,0.47,0.45,0.47,0.47,5287011.0,MPS Infotecnics Stock
2023-03-02,0.49,0.49,0.48,0.49,0.49,1382928.0,MPS Infotecnics Stock
2023-03-03,0.5,0.51,0.5,0.51,0.51,7124633.0,MPS Infotecnics Stock
2023-03-06,0.51,0.52,0.49,0.49,0.49,12018650.0,MPS Infotecnics Stock
2023-03-08,0.47,0.49,0.47,0.49,0.49,3838023.0,MPS Infotecnics Stock
2023-03-09,0.49,0.49,0.47,0.47,0.47,4428710.0,MPS Infotecnics Stock
2023-03-10,0.45,0.48,0.45,0.47,0.47,5722307.0,MPS Infotecnics Stock
2023-03-13,0.47,0.47,0.45,0.46,0.46,7943642.0,MPS Infotecnics Stock
2023-03-14,0.46,0.46,0.44,0.46,0.46,8243513.0,MPS Infotecnics Stock
2023-03-15,0.45,0.46,0.45,0.45,0.45,2375288.0,MPS Infotecnics Stock
2023-03-16,0.45,0.46,0.43,0.44,0.44,11115700.0,MPS Infotecnics Stock
2023-03-17,0.44,0.46,0.44,0.45,0.45,4079977.0,MPS Infotecnics Stock
2023-03-20,0.45,0.45,0.43,0.43,0.43,9157184.0,MPS Infotecnics Stock
2023-03-21,0.42,0.42,0.41,0.41,0.41,4603712.0,MPS Infotecnics Stock
2023-03-22,0.42,0.42,0.41,0.42,0.42,3613904.0,MPS Infotecnics Stock
2023-03-23,0.42,0.43,0.4,0.41,0.41,6812517.0,MPS Infotecnics Stock
2023-03-24,0.41,0.43,0.4,0.42,0.42,5751233.0,MPS Infotecnics Stock
2023-03-27,0.43,0.43,0.4,0.4,0.4,5054344.0,MPS Infotecnics Stock
2023-03-28,0.4,0.41,0.39,0.4,0.4,5450387.0,MPS Infotecnics Stock
2023-03-29,0.4,0.41,0.39,0.4,0.4,3504035.0,MPS Infotecnics Stock
2023-03-31,0.41,0.42,0.4,0.4,0.4,4698077.0,MPS Infotecnics Stock
2023-04-03,0.4,0.42,0.4,0.42,0.42,7046919.0,MPS Infotecnics Stock
2023-04-05,0.43,0.44,0.43,0.44,0.44,3967032.0,MPS Infotecnics Stock
2023-04-06,0.46,0.46,0.46,0.46,0.46,554975.0,MPS Infotecnics Stock
2023-04-10,0.48,0.48,0.45,0.45,0.45,12951300.0,MPS Infotecnics Stock
2023-04-11,0.45,0.47,0.45,0.46,0.46,6818082.0,MPS Infotecnics Stock
2023-04-12,0.47,0.48,0.45,0.46,0.46,6215738.0,MPS Infotecnics Stock
2023-04-13,0.46,0.47,0.45,0.45,0.45,5787897.0,MPS Infotecnics Stock
2023-04-17,0.45,0.46,0.43,0.44,0.44,4712643.0,MPS Infotecnics Stock
2023-04-18,0.45,0.45,0.42,0.43,0.43,3993988.0,MPS Infotecnics Stock
2023-04-19,0.43,0.47,0.43,0.47,0.47,8652945.0,MPS Infotecnics Stock
2023-04-20,0.46,0.47,0.45,0.46,0.46,7496432.0,MPS Infotecnics Stock
2023-04-21,0.45,0.46,0.44,0.44,0.44,7258946.0,MPS Infotecnics Stock
2023-04-24,0.44,0.46,0.44,0.45,0.45,8580524.0,MPS Infotecnics Stock
2023-04-25,0.45,0.47,0.44,0.45,0.45,7734255.0,MPS Infotecnics Stock
2023-04-26,0.45,0.47,0.44,0.46,0.46,6319496.0,MPS Infotecnics Stock
2023-04-27,0.46,0.48,0.44,0.45,0.45,7054336.0,MPS Infotecnics Stock
2023-04-28,0.46,0.46,0.45,0.46,0.46,3822570.0,MPS Infotecnics Stock
2023-05-02,0.45,0.46,0.45,0.45,0.45,4301415.0,MPS Infotecnics Stock
2023-05-03,0.45,0.46,0.44,0.45,0.45,5249316.0,MPS Infotecnics Stock
2023-05-04,0.45,0.49,0.44,0.49,0.49,24139840.0,MPS Infotecnics Stock
2023-05-05,0.48,0.5,0.46,0.47,0.47,10059450.0,MPS Infotecnics Stock
2023-05-08,0.46,0.47,0.45,0.46,0.46,9480697.0,MPS Infotecnics Stock
2023-05-09,0.46,0.47,0.45,0.45,0.45,6191017.0,MPS Infotecnics Stock
2023-05-10,0.45,0.46,0.44,0.45,0.45,5838209.0,MPS Infotecnics Stock
2023-05-11,0.46,0.46,0.44,0.46,0.46,6764209.0,MPS Infotecnics Stock
2023-05-12,0.45,0.46,0.45,0.45,0.45,4363176.0,MPS Infotecnics Stock
2023-05-15,0.45,0.46,0.44,0.45,0.45,5929771.0,MPS Infotecnics Stock
2023-05-16,0.45,0.46,0.44,0.46,0.46,5482720.0,MPS Infotecnics Stock
2023-05-17,0.45,0.46,0.44,0.45,0.45,8021212.0,MPS Infotecnics Stock
