Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,815.0,823.0,795.5,814.400024,805.53363,2701422,Mazagon Dock Stock
2023-01-06,816.0,821.0,798.549988,802.849976,794.109375,1536842,Mazagon Dock Stock
2023-01-09,809.299988,826.299988,806.0,809.5,800.687012,1670022,Mazagon Dock Stock
2023-01-10,810.400024,811.700012,785.700012,790.099976,781.498169,1335296,Mazagon Dock Stock
2023-01-11,793.0,804.0,777.5,787.450012,778.877075,1978242,Mazagon Dock Stock
2023-01-12,791.400024,794.650024,781.0,788.75,780.162903,1743603,Mazagon Dock Stock
2023-01-13,792.400024,795.799988,778.049988,780.349976,771.85437,1245667,Mazagon Dock Stock
2023-01-16,783.0,787.25,761.75,771.25,762.853455,1791028,Mazagon Dock Stock
2023-01-17,772.349976,774.700012,759.150024,766.950012,758.600281,1200524,Mazagon Dock Stock
2023-01-18,767.799988,779.5,757.099976,761.950012,753.654663,1360170,Mazagon Dock Stock
2023-01-19,757.0,758.900024,734.0,737.950012,729.915955,1098559,Mazagon Dock Stock
2023-01-20,739.799988,787.400024,732.450012,767.400024,759.045349,6050456,Mazagon Dock Stock
2023-01-23,772.5,785.799988,768.0,773.549988,765.128357,1997136,Mazagon Dock Stock
2023-01-24,776.0,777.049988,754.5,758.400024,750.143372,968228,Mazagon Dock Stock
2023-01-25,752.25,755.799988,734.299988,738.049988,730.014832,1088431,Mazagon Dock Stock
2023-01-27,741.75,747.75,708.5,721.150024,713.298889,1525087,Mazagon Dock Stock
2023-01-30,723.75,782.450012,722.049988,763.25,754.940552,1847443,Mazagon Dock Stock
2023-01-31,785.0,811.0,783.099976,793.25,784.613892,4692886,Mazagon Dock Stock
2023-02-01,798.0,803.900024,730.450012,744.849976,736.740784,2505984,Mazagon Dock Stock
2023-02-02,743.0,774.0,725.299988,768.799988,760.430054,1869244,Mazagon Dock Stock
2023-02-03,774.299988,774.799988,739.0,743.450012,735.356079,1163139,Mazagon Dock Stock
2023-02-06,743.400024,753.549988,736.5,744.150024,736.048462,947914,Mazagon Dock Stock
2023-02-07,745.400024,762.700012,736.25,740.400024,732.339294,1042993,Mazagon Dock Stock
2023-02-08,744.0,747.950012,731.099976,734.200012,726.206787,837157,Mazagon Dock Stock
2023-02-09,735.700012,737.549988,714.25,718.75,710.924988,821869,Mazagon Dock Stock
2023-02-10,717.950012,744.299988,713.549988,722.900024,715.029785,1417493,Mazagon Dock Stock
2023-02-13,723.5,728.950012,705.049988,710.849976,703.110962,912116,Mazagon Dock Stock
2023-02-14,713.650024,727.650024,691.599976,713.0,705.237549,1732352,Mazagon Dock Stock
2023-02-15,712.900024,739.849976,707.099976,729.950012,722.003052,1903422,Mazagon Dock Stock
2023-02-16,733.5,769.849976,726.650024,759.450012,751.181885,2991688,Mazagon Dock Stock
2023-02-17,757.75,772.0,750.75,758.75,750.489502,1741108,Mazagon Dock Stock
2023-02-20,761.099976,770.799988,742.900024,749.700012,741.538025,1167148,Mazagon Dock Stock
2023-02-21,749.700012,753.700012,738.950012,745.049988,736.93866,778073,Mazagon Dock Stock
2023-02-22,739.0,743.549988,711.200012,714.900024,707.116882,796767,Mazagon Dock Stock
2023-02-23,718.0,725.0,702.0,711.0,703.259399,770475,Mazagon Dock Stock
2023-02-24,716.700012,728.950012,710.599976,715.049988,707.265259,738602,Mazagon Dock Stock
2023-02-27,706.5,713.950012,697.599976,704.200012,696.533386,659192,Mazagon Dock Stock
2023-02-28,708.400024,732.0,703.0,719.549988,711.716309,1106678,Mazagon Dock Stock
2023-03-01,722.400024,746.650024,722.349976,739.450012,731.399597,1157241,Mazagon Dock Stock
2023-03-02,742.650024,742.799988,722.099976,724.75,716.85968,649071,Mazagon Dock Stock
2023-03-03,729.0,743.400024,729.0,731.75,723.783447,703596,Mazagon Dock Stock
2023-03-06,735.450012,751.049988,730.0,732.700012,724.723083,760437,Mazagon Dock Stock
2023-03-08,725.849976,754.0,721.049988,741.299988,733.229492,1370531,Mazagon Dock Stock
2023-03-09,741.0,750.0,732.099976,734.799988,726.800232,635751,Mazagon Dock Stock
2023-03-10,729.0,730.5,714.400024,722.299988,714.43634,558111,Mazagon Dock Stock
2023-03-13,721.099976,730.400024,702.599976,704.75,697.077393,718695,Mazagon Dock Stock
2023-03-14,706.0,708.299988,677.5,682.400024,674.970764,807760,Mazagon Dock Stock
2023-03-15,689.0,697.900024,665.5,669.950012,662.65625,708407,Mazagon Dock Stock
2023-03-16,669.950012,671.0,649.950012,664.150024,656.919495,763029,Mazagon Dock Stock
2023-03-17,674.700012,686.950012,660.900024,667.349976,660.084534,697873,Mazagon Dock Stock
2023-03-20,663.049988,678.700012,652.900024,657.099976,649.946167,907683,Mazagon Dock Stock
2023-03-21,664.0,673.5,651.25,670.25,662.953003,713848,Mazagon Dock Stock
2023-03-22,673.650024,679.849976,669.549988,672.0,664.68396,558499,Mazagon Dock Stock
2023-03-23,671.400024,671.400024,656.799988,659.549988,652.369507,431814,Mazagon Dock Stock
2023-03-24,659.700012,662.799988,635.200012,639.25,632.290466,555588,Mazagon Dock Stock
2023-03-27,640.900024,642.450012,612.0,624.150024,617.354919,735058,Mazagon Dock Stock
2023-03-28,625.0,644.200012,620.299988,633.299988,626.405212,1152157,Mazagon Dock Stock
2023-03-29,632.299988,664.650024,626.150024,653.5,646.385376,1386028,Mazagon Dock Stock
2023-03-31,660.75,682.0,656.099976,663.049988,655.831421,1189112,Mazagon Dock Stock
2023-04-03,665.0,666.0,650.200012,657.099976,649.946167,417149,Mazagon Dock Stock
2023-04-05,660.299988,696.349976,657.700012,691.099976,683.575989,1649846,Mazagon Dock Stock
2023-04-06,688.0,705.25,680.099976,689.150024,681.647278,1486315,Mazagon Dock Stock
2023-04-10,693.950012,703.0,681.549988,686.25,678.778809,848715,Mazagon Dock Stock
2023-04-11,689.0,699.400024,684.349976,691.650024,684.120056,575350,Mazagon Dock Stock
2023-04-12,692.0,731.799988,689.349976,710.450012,702.715393,2313304,Mazagon Dock Stock
2023-04-13,710.450012,714.450012,701.049988,703.650024,695.98938,650156,Mazagon Dock Stock
2023-04-17,701.349976,723.0,695.200012,718.450012,710.628296,975845,Mazagon Dock Stock
2023-04-18,718.0,726.799988,714.0,716.200012,708.402771,603489,Mazagon Dock Stock
2023-04-19,717.400024,726.650024,701.049988,707.549988,699.846924,471169,Mazagon Dock Stock
2023-04-20,707.900024,722.0,702.349976,719.799988,711.963562,631621,Mazagon Dock Stock
2023-04-21,720.0,747.799988,706.549988,740.299988,732.240356,1336692,Mazagon Dock Stock
2023-04-24,741.0,761.900024,736.0,750.849976,742.675537,1798289,Mazagon Dock Stock
2023-04-25,751.0,760.0,737.349976,740.150024,732.092041,799788,Mazagon Dock Stock
2023-04-26,740.700012,750.0,737.049988,742.849976,734.762634,580818,Mazagon Dock Stock
2023-04-27,742.700012,749.900024,739.0,743.049988,734.960388,449314,Mazagon Dock Stock
2023-04-28,746.5,764.75,743.0,754.299988,746.087952,1018060,Mazagon Dock Stock
2023-05-02,758.400024,787.0,756.450012,781.900024,773.387451,1706057,Mazagon Dock Stock
2023-05-03,782.0,801.900024,773.799988,782.799988,774.277649,2284741,Mazagon Dock Stock
