Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,853.200012,882.799988,841.500000,871.950012,866.755920,173244
2023-01-06,867.500000,872.950012,851.500000,862.950012,857.809631,120530
2023-01-09,864.950012,891.950012,861.049988,885.950012,880.672668,179375
2023-01-10,882.950012,882.950012,846.349976,852.400024,847.322449,137921
2023-01-11,856.650024,859.299988,832.549988,833.150024,828.187134,80413
2023-01-12,833.000000,847.799988,829.599976,837.200012,832.213013,67968
2023-01-13,839.750000,853.000000,836.450012,849.900024,844.837341,45112
2023-01-16,850.000000,863.950012,843.000000,847.000000,841.954590,54949
2023-01-17,852.250000,869.000000,829.099976,845.349976,840.314392,501977
2023-01-18,860.000000,886.000000,847.000000,864.500000,859.350342,435543
2023-01-19,875.000000,883.000000,867.049988,874.299988,869.091980,144021
2023-01-20,879.799988,882.549988,845.049988,854.099976,849.012268,240914
2023-01-23,858.599976,862.250000,829.400024,832.900024,827.938599,96176
2023-01-24,832.900024,841.299988,806.000000,810.200012,805.373779,140391
2023-01-25,810.200012,810.200012,792.950012,799.150024,794.389709,308738
2023-01-27,797.000000,798.950012,752.000000,773.799988,771.604492,679119
2023-01-30,759.049988,774.500000,754.000000,759.700012,757.544495,113356
2023-01-31,759.700012,764.250000,736.049988,756.599976,754.453247,200598
2023-02-01,764.900024,772.700012,755.900024,767.950012,765.771118,79514
2023-02-02,766.799988,766.799988,737.000000,749.400024,747.273743,110246
2023-02-03,748.650024,758.950012,737.400024,747.849976,745.728088,56260
2023-02-06,749.000000,765.950012,740.250000,760.400024,758.242554,97207
2023-02-07,764.250000,770.049988,745.450012,757.400024,755.251038,52983
2023-02-08,759.750000,782.349976,746.099976,765.099976,762.929138,92586
2023-02-09,765.099976,790.000000,758.750000,784.750000,782.523438,69817
2023-02-10,788.700012,807.000000,776.200012,802.099976,799.824158,116305
2023-02-13,806.150024,834.000000,786.200012,804.250000,801.968079,138644
2023-02-14,808.000000,822.400024,788.450012,813.900024,811.590759,178033
2023-02-15,813.950012,849.000000,801.049988,837.599976,835.223450,199356
2023-02-16,841.799988,848.099976,836.000000,843.250000,840.857483,116441
2023-02-17,836.150024,859.900024,826.049988,832.250000,829.888611,186922
2023-02-20,826.599976,844.900024,815.000000,838.000000,835.622375,169404
2023-02-21,842.200012,857.700012,838.900024,849.250000,846.840393,98814
2023-02-22,849.200012,854.900024,830.000000,849.700012,847.289185,176210
2023-02-23,848.000000,854.900024,812.900024,850.099976,847.687988,155909
2023-02-24,846.000000,856.750000,805.000000,807.099976,804.809998,225015
2023-02-27,810.000000,849.000000,809.150024,814.000000,811.690430,418112
2023-02-28,820.049988,828.650024,787.849976,820.950012,818.620728,226282
2023-03-01,808.099976,825.099976,797.549988,810.849976,808.549316,186134
2023-03-02,810.000000,815.049988,791.599976,806.849976,804.560669,146313
2023-03-03,810.900024,812.849976,799.549988,806.950012,804.660461,103939
2023-03-06,811.000000,812.450012,795.099976,806.700012,804.411194,181994
2023-03-08,804.000000,812.349976,796.250000,808.950012,806.654785,232531
2023-03-09,807.000000,823.950012,804.400024,820.250000,817.922668,392679
2023-03-10,814.000000,835.549988,807.049988,822.650024,820.315918,162093
2023-03-13,822.950012,832.000000,795.599976,803.849976,801.569153,131252
2023-03-14,807.900024,819.950012,782.400024,795.349976,793.093323,197819
2023-03-15,802.000000,811.000000,794.799988,799.549988,797.281433,61230
2023-03-16,796.000000,798.000000,777.400024,790.450012,788.207275,84348
2023-03-17,793.799988,804.799988,788.599976,795.000000,792.744385,118636
2023-03-20,815.000000,815.000000,775.000000,779.799988,777.587463,68795
2023-03-21,780.700012,789.450012,765.099976,769.250000,767.067444,225659
2023-03-22,769.450012,790.000000,766.200012,784.750000,782.523438,95509
2023-03-23,780.299988,785.450012,773.150024,780.599976,778.385193,91166
2023-03-24,775.250000,789.549988,775.250000,786.049988,783.819702,69533
2023-03-27,786.700012,786.950012,765.000000,771.500000,769.311035,92476
2023-03-28,771.299988,786.950012,768.250000,770.549988,768.363708,74074
2023-03-29,770.599976,805.000000,765.000000,787.700012,785.465088,177422
2023-03-31,787.700012,809.950012,782.049988,794.650024,792.395386,203357
2023-04-03,797.900024,810.000000,788.000000,794.099976,791.846863,52036
2023-04-05,794.000000,815.000000,794.000000,812.150024,809.845703,78525
2023-04-06,815.000000,817.000000,795.750000,802.150024,799.874084,43647
2023-04-10,802.000000,814.099976,797.549988,811.849976,809.546509,50984
2023-04-11,811.849976,813.500000,802.200012,806.049988,803.763000,94841
2023-04-12,806.599976,815.000000,801.349976,811.599976,809.297241,42040
2023-04-13,813.200012,813.200012,792.849976,800.400024,798.129028,50401
2023-04-17,800.400024,818.000000,796.549988,812.950012,810.643433,65023
2023-04-18,813.000000,824.200012,796.599976,800.900024,798.627625,71726
2023-04-19,802.450012,806.000000,790.900024,797.450012,795.187378,143408
2023-04-20,796.400024,855.000000,794.000000,845.500000,843.101074,621463
2023-04-21,842.000000,858.200012,833.650024,846.900024,844.497070,225295
2023-04-24,847.900024,855.200012,840.349976,846.299988,843.898743,164186
2023-04-25,842.849976,854.950012,831.000000,850.700012,848.286316,209350
2023-04-26,850.700012,857.349976,834.000000,853.799988,851.377502,193459
2023-04-27,854.450012,879.750000,854.450012,866.849976,864.390442,196700
2023-04-28,863.049988,873.799988,861.000000,865.500000,863.044312,454834
2023-05-02,865.500000,902.500000,861.000000,890.599976,888.073059,310142
2023-05-03,888.650024,903.950012,880.000000,900.400024,897.845276,121081
2023-05-04,906.349976,920.000000,891.000000,916.400024,913.799927,141517
2023-05-05,910.950012,929.000000,887.450012,921.799988,919.184570,219848
2023-05-08,921.799988,934.450012,909.750000,923.549988,920.929565,80102
2023-05-09,913.950012,937.849976,895.000000,905.700012,903.130249,100305
2023-05-10,905.950012,919.650024,899.200012,915.200012,912.603333,64209
2023-05-11,915.200012,926.099976,909.549988,919.049988,916.442383,87346
2023-05-12,927.000000,927.000000,902.000000,911.500000,908.913757,54850
2023-05-15,906.700012,928.500000,900.599976,919.500000,916.891113,57333
2023-05-16,906.349976,933.000000,906.349976,920.500000,917.888306,45529
2023-05-17,919.950012,924.849976,907.950012,911.450012,908.863953,47066
2023-05-18,911.000000,929.000000,903.200012,909.950012,907.368225,134102
2023-05-19,913.099976,945.000000,902.599976,925.849976,923.223022,258131
2023-05-22,915.299988,925.000000,880.549988,898.750000,896.199951,137398
2023-05-23,908.900024,918.900024,864.400024,880.450012,877.951843,182472
2023-05-24,840.000000,954.900024,828.000000,929.599976,926.962402,1398002
2023-05-25,935.000000,977.400024,921.349976,969.599976,966.848938,681132
2023-05-26,963.000000,964.099976,942.750000,950.049988,947.354431,310644
2023-05-29,950.500000,961.400024,928.750000,958.200012,955.481323,222887
2023-05-30,957.549988,991.099976,950.000000,968.650024,965.901672,336725
2023-05-31,963.450012,984.549988,946.150024,958.099976,955.381531,119949
2023-06-01,958.150024,979.000000,957.700012,971.099976,968.344666,76330
2023-06-02,977.000000,1013.000000,970.549988,985.099976,982.304932,325147
2023-06-05,995.000000,995.000000,944.849976,952.250000,949.548157,118559
2023-06-06,956.799988,977.000000,954.400024,972.250000,969.491455,109916
2023-06-07,972.299988,990.000000,959.000000,981.700012,978.914612,151532
2023-06-08,981.950012,989.299988,960.500000,966.250000,963.508423,61525
2023-06-09,969.599976,981.000000,943.000000,954.049988,951.343079,61519
2023-06-12,954.049988,961.799988,939.900024,958.799988,956.079590,90617
2023-06-13,961.450012,974.950012,953.599976,966.250000,963.508423,81789
2023-06-14,963.450012,979.099976,956.299988,961.500000,958.771912,50429
2023-06-15,967.200012,975.000000,962.000000,969.799988,967.048340,80716
2023-06-16,966.099976,1007.500000,964.049988,979.849976,977.069824,255850
2023-06-19,985.900024,1006.599976,980.000000,988.900024,986.094238,138779
2023-06-20,989.000000,998.799988,982.250000,990.000000,987.191040,46313
2023-06-21,992.849976,1032.849976,992.849976,1018.700012,1015.809631,319147
2023-06-22,1018.700012,1034.300049,972.900024,1004.299988,1001.450439,180638
2023-06-23,1001.000000,1003.799988,951.000000,967.299988,964.555481,207937
2023-06-26,960.000000,975.000000,956.000000,959.750000,957.026855,94948
2023-06-27,967.000000,1000.000000,958.500000,978.250000,975.474365,171210
2023-06-28,978.250000,978.250000,978.250000,978.250000,975.474365,0
2023-06-30,970.099976,982.000000,929.000000,936.500000,933.842834,194607
2023-07-03,944.900024,958.000000,940.000000,955.150024,952.439941,95092
2023-07-04,956.599976,967.000000,950.000000,957.700012,954.982666,71978
2023-07-05,964.900024,969.000000,954.200012,966.000000,963.259155,59586
2023-07-06,973.000000,1003.000000,960.250000,998.049988,995.218262,172457
2023-07-07,997.900024,1018.099976,987.950012,1014.150024,1011.272522,192796
2023-07-10,1015.500000,1019.900024,994.650024,1003.700012,1000.852173,66289
2023-07-11,1003.349976,1021.049988,998.000000,1014.400024,1011.521851,42234
2023-07-12,1018.599976,1032.000000,1005.700012,1024.750000,1021.842468,97266
2023-07-13,1026.300049,1080.000000,1019.450012,1061.650024,1058.637817,301148
2023-07-14,1066.000000,1090.000000,1061.650024,1076.400024,1073.345947,368019
2023-07-17,1081.500000,1090.300049,1071.900024,1087.550049,1084.464355,104631
2023-07-18,1088.900024,1098.800049,1060.550049,1071.800049,1068.759033,104979
2023-07-19,1072.000000,1089.949951,1050.050049,1057.800049,1054.798706,182034
2023-07-20,1052.500000,1071.199951,1047.750000,1055.349976,1052.355591,72039
2023-07-21,1064.000000,1091.000000,1056.949951,1086.449951,1083.367432,154037
2023-07-24,1092.750000,1093.250000,1072.699951,1084.199951,1081.123779,175699
2023-07-25,1075.000000,1085.400024,1066.500000,1074.400024,1071.351685,65195
2023-07-26,1077.099976,1110.000000,1071.900024,1094.849976,1091.743530,107079
2023-07-27,1105.000000,1107.449951,1062.900024,1068.449951,1065.418335,52674
2023-07-28,1072.500000,1076.050049,1040.000000,1044.500000,1041.536499,53816
2023-07-31,1046.500000,1058.250000,1025.000000,1034.000000,1031.066284,95857
2023-08-01,1037.650024,1065.000000,1035.849976,1041.250000,1038.295654,112947
2023-08-02,1021.000000,1108.000000,982.549988,1056.150024,1053.153320,882394
2023-08-03,1056.150024,1086.949951,1047.699951,1073.900024,1070.853027,145304
2023-08-04,1081.199951,1084.250000,1046.449951,1068.900024,1065.867188,107880
2023-08-07,1075.300049,1086.000000,1060.099976,1073.849976,1070.803101,51873
2023-08-08,1076.550049,1083.000000,1065.000000,1072.750000,1069.706299,72989
2023-08-09,1075.000000,1075.849976,1055.000000,1067.550049,1064.521118,44006
2023-08-10,1070.599976,1072.699951,1031.099976,1034.150024,1031.215820,135364
2023-08-11,1035.099976,1083.849976,1035.099976,1077.000000,1073.944214,137737
2023-08-14,1069.000000,1102.000000,1065.949951,1095.400024,1092.291992,122791
2023-08-16,1090.000000,1127.199951,1074.000000,1087.150024,1084.065430,95344
2023-08-17,1089.949951,1099.949951,1082.050049,1094.150024,1091.045654,102438
2023-08-18,1094.199951,1104.949951,1075.050049,1096.550049,1093.438721,82450
2023-08-21,1100.000000,1109.900024,1055.550049,1066.550049,1063.523926,150820
2023-08-22,1069.550049,1080.000000,1034.000000,1036.349976,1033.409546,129482
2023-08-23,1045.000000,1049.449951,1023.000000,1045.400024,1042.433838,107722
2023-08-24,1048.250000,1056.349976,1000.650024,1030.349976,1027.426636,227022
2023-08-25,1030.250000,1032.750000,1011.150024,1025.150024,1022.241333,90487
2023-08-28,1027.000000,1036.000000,1015.799988,1032.250000,1029.321167,53736
2023-08-29,1034.250000,1052.949951,1022.200012,1048.699951,1045.724487,104949
2023-08-30,1048.650024,1070.000000,1031.800049,1065.349976,1062.327271,126490
2023-08-31,1066.949951,1070.300049,1033.250000,1047.949951,1046.449951,141547
2023-09-01,1047.949951,1058.050049,1038.000000,1053.250000,1053.250000,52575
2023-09-04,1055.550049,1058.800049,1023.900024,1042.800049,1042.800049,136829
2023-09-05,1042.800049,1056.500000,1032.050049,1047.300049,1047.300049,99942
2023-09-06,1047.300049,1079.000000,1038.500000,1074.650024,1074.650024,91271
2023-09-07,1079.349976,1080.300049,1057.199951,1074.349976,1074.349976,69660
2023-09-08,1074.349976,1096.650024,1061.050049,1091.550049,1091.550049,176706
2023-09-11,1094.699951,1097.300049,1052.349976,1069.949951,1069.949951,59455
2023-09-12,1075.000000,1114.349976,985.549988,1085.550049,1085.550049,234833
2023-09-13,1090.000000,1096.349976,1048.000000,1077.349976,1077.349976,153850
2023-09-14,1084.849976,1092.449951,1052.300049,1067.349976,1067.349976,119460
2023-09-15,1077.000000,1089.099976,1060.000000,1084.449951,1084.449951,53592
2023-09-18,1083.949951,1105.000000,1072.000000,1099.400024,1099.400024,289667
2023-09-20,1099.949951,1104.550049,1040.099976,1097.750000,1097.750000,226102
2023-09-21,1087.800049,1102.900024,1072.250000,1086.400024,1086.400024,90660
2023-09-22,1081.800049,1108.849976,1075.300049,1091.000000,1091.000000,254400
