Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,731.150024,737.000000,716.549988,724.299988,722.512390,158561
2023-01-06,726.099976,729.700012,705.099976,712.700012,710.941040,88602
2023-01-09,712.700012,723.000000,708.099976,719.849976,718.073364,157951
2023-01-10,723.000000,744.400024,717.799988,734.299988,732.487671,73607
2023-01-11,730.950012,736.799988,720.650024,724.400024,722.612183,88193
2023-01-12,725.650024,742.000000,723.500000,733.900024,732.088745,82750
2023-01-13,735.000000,751.849976,730.849976,737.849976,736.028931,57724
2023-01-16,740.000000,740.650024,711.000000,727.599976,725.804199,145826
2023-01-17,727.849976,739.400024,722.049988,727.450012,725.654602,52023
2023-01-18,728.150024,758.599976,728.150024,748.500000,746.652649,184123
2023-01-19,753.000000,759.150024,740.400024,744.750000,742.911926,92744
2023-01-20,746.599976,748.099976,725.500000,728.299988,726.502502,97262
2023-01-23,730.549988,739.750000,725.000000,729.700012,727.899048,41523
2023-01-24,728.900024,733.000000,723.000000,726.950012,725.155884,40570
2023-01-25,726.950012,729.000000,717.000000,724.150024,722.362793,25378
2023-01-27,722.000000,733.650024,717.000000,721.799988,720.018555,99785
2023-01-30,723.900024,735.900024,715.849976,723.299988,721.514832,76164
2023-01-31,725.299988,735.000000,721.250000,726.400024,724.607239,75140
2023-02-01,733.099976,743.000000,710.200012,712.150024,710.392395,102922
2023-02-02,712.150024,744.599976,710.299988,721.599976,719.819031,152540
2023-02-03,721.599976,729.549988,712.450012,714.799988,713.035828,92576
2023-02-06,712.450012,728.849976,711.849976,724.299988,722.512390,61558
2023-02-07,725.599976,733.349976,724.750000,731.150024,729.345520,138711
2023-02-08,731.500000,733.400024,720.500000,726.849976,725.056091,95526
2023-02-09,734.150024,739.000000,720.150024,724.049988,722.263000,432463
2023-02-10,731.299988,731.299988,712.000000,719.099976,717.325195,81400
2023-02-13,721.349976,729.500000,711.250000,719.900024,718.123291,88484
2023-02-14,715.099976,729.000000,715.099976,724.950012,723.160828,84451
2023-02-15,724.700012,726.700012,715.250000,718.750000,716.976074,57594
2023-02-16,723.599976,732.000000,719.849976,729.500000,727.699585,174269
2023-02-17,727.000000,737.349976,725.150024,728.000000,726.203247,101202
2023-02-20,730.750000,737.250000,725.000000,729.950012,728.148438,194167
2023-02-21,732.000000,740.400024,729.750000,738.849976,737.026428,382930
2023-02-22,738.000000,746.950012,721.400024,741.450012,739.620056,613221
2023-02-23,741.450012,744.650024,736.200012,741.650024,739.819580,350403
2023-02-24,745.000000,759.000000,741.900024,750.150024,748.298645,114292
2023-02-27,750.150024,757.150024,744.950012,749.700012,747.849731,119183
2023-02-28,749.700012,766.150024,732.950012,749.099976,747.251160,419268
2023-03-01,748.950012,748.950012,737.000000,742.900024,741.066528,92443
2023-03-02,743.000000,771.500000,740.049988,768.700012,766.802795,166315
2023-03-03,769.900024,783.500000,761.099976,777.099976,775.182068,240784
2023-03-06,788.000000,796.099976,783.700012,789.599976,787.651184,420572
2023-03-08,789.599976,810.000000,772.000000,781.349976,779.421570,250809
2023-03-09,785.299988,793.099976,771.349976,786.200012,784.259644,102871
2023-03-10,783.000000,799.950012,769.400024,789.849976,787.900574,129044
2023-03-13,789.500000,789.849976,772.000000,781.900024,779.970276,89687
2023-03-14,799.000000,800.000000,784.250000,792.700012,790.743591,345758
2023-03-15,800.150024,807.950012,794.000000,801.750000,799.771240,141609
2023-03-16,809.000000,810.000000,795.000000,805.900024,803.911011,253085
2023-03-17,811.900024,816.200012,806.000000,807.299988,805.307556,128172
2023-03-20,787.000000,821.599976,787.000000,795.950012,793.985596,123809
2023-03-21,799.900024,800.000000,770.049988,773.799988,771.890198,217178
2023-03-22,782.200012,788.150024,767.500000,778.200012,776.279358,158888
2023-03-23,774.000000,775.450012,764.250000,771.250000,769.346497,56549
2023-03-24,774.900024,774.900024,743.000000,745.549988,743.709961,177366
2023-03-27,745.549988,752.299988,723.099976,744.299988,742.463013,107577
2023-03-28,743.950012,765.599976,737.650024,763.900024,762.014709,212724
2023-03-29,763.900024,776.599976,751.450012,768.650024,766.752930,69652
2023-03-31,767.950012,778.000000,757.299988,774.150024,772.239380,84136
2023-04-03,779.950012,786.000000,764.950012,769.299988,767.401306,113424
2023-04-05,773.049988,775.000000,757.250000,759.700012,757.825012,135083
2023-04-06,757.099976,765.000000,752.299988,758.950012,757.076904,253760
2023-04-10,766.000000,800.000000,762.000000,772.099976,770.194397,169330
2023-04-11,772.000000,799.900024,766.349976,794.549988,792.588989,152793
2023-04-12,794.299988,801.000000,780.950012,793.900024,791.940613,121402
2023-04-13,793.900024,795.400024,770.650024,774.750000,772.837891,139173
2023-04-17,774.000000,776.099976,751.000000,754.150024,752.288757,293885
2023-04-18,757.549988,774.000000,746.299988,759.950012,758.074402,365052
2023-04-19,765.599976,767.900024,755.000000,760.150024,758.273926,188327
2023-04-20,760.000000,766.450012,752.950012,754.549988,752.687744,374618
2023-04-21,756.049988,773.000000,756.049988,770.849976,768.947510,138346
2023-04-24,774.799988,777.450012,764.000000,772.799988,770.892700,63726
2023-04-25,772.799988,776.650024,758.000000,761.400024,759.520874,86187
2023-04-26,765.250000,773.900024,752.000000,753.200012,751.341064,139079
2023-04-27,753.200012,763.650024,751.099976,759.799988,757.924744,95671
2023-04-28,760.950012,763.299988,752.099976,761.849976,759.969666,421295
2023-05-02,765.900024,768.000000,751.900024,754.900024,753.036865,313241
2023-05-03,756.450012,763.750000,752.000000,757.849976,755.979553,125408
2023-05-04,758.000000,770.950012,758.000000,765.599976,763.710449,64294
2023-05-05,767.099976,767.099976,758.549988,760.650024,758.772705,96288
2023-05-08,762.150024,775.000000,760.750000,767.900024,766.004822,80170
2023-05-09,769.400024,776.450012,752.200012,756.150024,754.283813,265862
2023-05-10,757.650024,766.549988,752.000000,753.200012,751.341064,243212
2023-05-11,753.250000,776.000000,753.250000,763.450012,761.565796,254206
2023-05-12,758.049988,769.250000,755.000000,760.950012,759.071960,249608
2023-05-15,762.650024,772.000000,760.000000,769.200012,767.301575,102335
2023-05-16,770.700012,772.000000,753.000000,754.750000,752.887268,227854
2023-05-17,757.799988,763.950012,748.900024,752.700012,750.842285,188212
2023-05-18,756.500000,779.750000,754.599976,767.849976,765.954895,121603
2023-05-19,768.700012,777.250000,761.000000,773.150024,771.241882,93283
2023-05-22,800.000000,856.000000,798.049988,831.349976,829.298157,2563198
2023-05-23,831.000000,855.900024,815.000000,820.450012,818.425110,748932
2023-05-24,825.000000,880.799988,819.049988,839.900024,837.827087,1766095
2023-05-25,848.299988,867.150024,843.349976,859.400024,857.278992,468530
2023-05-26,864.049988,879.400024,836.599976,844.049988,841.966858,394293
2023-05-29,853.000000,862.750000,846.599976,859.500000,857.378723,231845
2023-05-30,860.000000,874.849976,852.099976,863.950012,861.817749,285434
2023-05-31,865.000000,900.000000,860.549988,893.450012,891.244934,463829
2023-06-01,893.500000,927.950012,891.450012,910.599976,908.352600,551169
2023-06-02,916.049988,947.349976,910.849976,932.799988,930.497803,607535
2023-06-05,946.000000,946.000000,906.849976,909.900024,907.654358,259430
2023-06-06,909.900024,909.900024,895.000000,900.450012,898.227661,197716
2023-06-07,907.849976,943.000000,902.799988,924.299988,922.018799,423508
2023-06-08,925.500000,948.000000,925.000000,927.599976,925.310608,249819
2023-06-09,930.349976,937.849976,918.599976,927.049988,924.761963,153286
2023-06-12,927.950012,960.000000,927.950012,934.700012,932.393127,351918
2023-06-13,930.000000,959.900024,930.000000,955.599976,953.241516,583348
2023-06-14,955.000000,996.700012,936.549988,986.250000,983.815857,807888
2023-06-15,990.000000,1057.900024,988.000000,1036.550049,1033.991821,703207
2023-06-16,1060.000000,1064.349976,1018.599976,1035.199951,1032.645020,508159
2023-06-19,1036.599976,1039.000000,999.150024,1006.099976,1003.616882,270427
2023-06-20,1008.000000,1037.000000,995.049988,1025.849976,1023.318115,235851
2023-06-21,1025.849976,1076.949951,1025.849976,1049.550049,1046.959717,564499
