Date,Open,High,Low,Close,Adj Close,Volume,company
2023-07-28,3.365,3.43,2.27,2.55,2.55,5101000,Surf Air Mobility Stock Data
2023-07-31,2.56,2.59,2.0,2.04,2.04,3503900,Surf Air Mobility Stock Data
2023-08-01,1.96,1.98,1.52,1.56,1.56,3125600,Surf Air Mobility Stock Data
2023-08-02,1.77,1.94,1.56,1.76,1.76,4208600,Surf Air Mobility Stock Data
2023-08-03,1.58,1.59,1.45,1.5,1.5,1827000,Surf Air Mobility Stock Data
2023-08-04,1.51,1.55,1.35,1.39,1.39,1022900,Surf Air Mobility Stock Data
2023-08-07,1.4,1.46,1.3,1.38,1.38,1000900,Surf Air Mobility Stock Data
2023-08-08,1.31,1.43,1.27,1.36,1.36,776600,Surf Air Mobility Stock Data
2023-08-09,1.41,1.41,1.23,1.24,1.24,736700,Surf Air Mobility Stock Data
2023-08-10,1.2,1.26,1.2,1.25,1.25,412700,Surf Air Mobility Stock Data
2023-08-11,1.22,1.35,1.22,1.35,1.35,671500,Surf Air Mobility Stock Data
2023-08-14,1.38,1.45,1.29,1.45,1.45,879900,Surf Air Mobility Stock Data
2023-08-15,1.49,1.49,1.3,1.4,1.4,1341900,Surf Air Mobility Stock Data
2023-08-16,1.4,1.439,1.32,1.43,1.43,1225700,Surf Air Mobility Stock Data
2023-08-17,1.16,1.28,1.12,1.18,1.18,1100500,Surf Air Mobility Stock Data
2023-08-18,1.1,1.2,1.1,1.2,1.2,292600,Surf Air Mobility Stock Data
2023-08-21,1.1,1.25,1.1,1.24,1.24,384500,Surf Air Mobility Stock Data
2023-08-22,1.29,1.39,1.23,1.39,1.39,597700,Surf Air Mobility Stock Data
2023-08-23,1.36,1.42,1.33,1.38,1.38,494000,Surf Air Mobility Stock Data
2023-08-24,1.4,1.4,1.28,1.31,1.31,338400,Surf Air Mobility Stock Data
2023-08-25,1.4,1.4,1.28,1.34,1.34,217900,Surf Air Mobility Stock Data
2023-08-28,1.37,1.45,1.34,1.41,1.41,456600,Surf Air Mobility Stock Data
2023-08-29,1.43,1.46,1.35,1.42,1.42,209000,Surf Air Mobility Stock Data
2023-08-30,1.43,1.57,1.382,1.51,1.51,697700,Surf Air Mobility Stock Data
2023-08-31,1.54,1.59,1.38,1.57,1.57,394600,Surf Air Mobility Stock Data
2023-09-01,1.54,1.7,1.5,1.7,1.7,438000,Surf Air Mobility Stock Data
2023-09-05,1.69,2.15,1.68,2.1,2.1,1728300,Surf Air Mobility Stock Data
2023-09-06,2.15,2.17,1.96,2.13,2.13,870700,Surf Air Mobility Stock Data
