Date,Open,High,Low,Close,Adj Close,Volume
2023-01-04,4.460000,4.670000,4.440000,4.640000,4.640000,350700
2023-01-05,4.650000,4.650000,4.480000,4.540000,4.540000,173800
2023-01-06,4.630000,4.700000,4.550000,4.670000,4.670000,150100
2023-01-09,4.740000,4.920000,4.660000,4.830000,4.830000,278900
2023-01-10,4.830000,4.980000,4.830000,4.960000,4.960000,158400
2023-01-11,4.970000,5.140000,4.970000,5.140000,5.140000,255200
2023-01-12,5.150000,5.350000,5.120000,5.340000,5.340000,484400
2023-01-13,5.290000,5.380000,5.180000,5.240000,5.240000,436600
2023-01-17,5.260000,5.300000,5.140000,5.160000,5.160000,246400
2023-01-18,5.180000,5.260000,4.950000,4.950000,4.950000,266400
2023-01-19,4.910000,4.990000,4.720000,4.800000,4.800000,226900
2023-01-20,4.850000,4.890000,4.790000,4.860000,4.860000,175300
2023-01-23,4.890000,5.000000,4.840000,4.900000,4.900000,260600
2023-01-24,4.950000,4.990000,4.860000,4.940000,4.940000,154300
2023-01-25,4.860000,5.030000,4.790000,5.010000,5.010000,166400
2023-01-26,5.050000,5.170000,5.020000,5.100000,5.100000,143900
2023-01-27,5.090000,5.240000,5.090000,5.170000,5.170000,116400
2023-01-30,5.140000,5.220000,5.070000,5.120000,5.120000,166100
2023-01-31,5.130000,5.240000,5.130000,5.210000,5.210000,195100
2023-02-01,5.180000,5.560000,5.150000,5.490000,5.490000,290000
2023-02-02,5.570000,5.780000,5.490000,5.700000,5.700000,242700
2023-02-03,5.680000,5.730000,5.620000,5.680000,5.680000,244800
2023-02-06,5.700000,5.800000,5.390000,5.410000,5.410000,491300
2023-02-07,5.420000,5.430000,5.110000,5.300000,5.300000,776500
2023-02-08,5.040000,5.180000,4.540000,4.600000,4.600000,612600
2023-02-09,4.640000,4.640000,4.190000,4.220000,4.220000,585700
2023-02-10,4.160000,4.310000,4.150000,4.240000,4.240000,356700
2023-02-13,4.270000,4.450000,4.160000,4.450000,4.450000,519800
