Date,Open,High,Low,Close,Adj Close,Volume,company
2023-01-05,718.0,721.099976,700.0,703.299988,700.443665,105938,Tanla Platforms Stock
2023-01-06,705.700012,705.700012,690.099976,692.900024,690.085938,103253,Tanla Platforms Stock
2023-01-09,696.400024,711.75,695.299988,701.150024,698.302429,83721,Tanla Platforms Stock
2023-01-10,708.0,754.950012,706.549988,728.599976,725.640869,1572772,Tanla Platforms Stock
2023-01-11,730.0,744.400024,720.0,727.150024,724.196838,328775,Tanla Platforms Stock
2023-01-12,725.0,737.75,720.549988,725.299988,722.354309,176752,Tanla Platforms Stock
2023-01-13,728.950012,744.25,728.049988,732.450012,729.475281,294545,Tanla Platforms Stock
2023-01-16,734.299988,736.400024,711.25,717.549988,714.635742,140262,Tanla Platforms Stock
2023-01-17,717.0,719.0,701.400024,704.599976,701.738342,173666,Tanla Platforms Stock
2023-01-18,708.0,715.0,705.099976,712.099976,709.207886,143632,Tanla Platforms Stock
2023-01-19,711.900024,712.700012,701.25,703.549988,700.692627,109183,Tanla Platforms Stock
2023-01-20,707.299988,709.0,694.849976,698.0,695.165161,126037,Tanla Platforms Stock
2023-01-23,670.0,682.25,658.400024,670.950012,668.225037,447487,Tanla Platforms Stock
2023-01-24,665.0,687.950012,663.150024,670.950012,668.225037,297615,Tanla Platforms Stock
2023-01-25,671.0,674.400024,661.0,663.900024,661.203674,152320,Tanla Platforms Stock
2023-01-27,667.25,678.5,639.0,646.650024,644.023743,219708,Tanla Platforms Stock
2023-01-30,647.650024,657.950012,625.150024,628.650024,626.096863,199313,Tanla Platforms Stock
2023-01-31,631.099976,652.0,625.0,646.799988,644.173096,230607,Tanla Platforms Stock
2023-02-01,654.700012,664.599976,631.0,637.400024,634.81134,164655,Tanla Platforms Stock
2023-02-02,636.25,654.700012,630.0,634.549988,631.972839,166907,Tanla Platforms Stock
2023-02-03,637.400024,640.450012,616.0,623.5,620.967773,172228,Tanla Platforms Stock
2023-02-06,626.0,634.950012,616.0,618.75,616.237061,159274,Tanla Platforms Stock
2023-02-07,621.849976,627.650024,609.0,611.049988,608.568298,147526,Tanla Platforms Stock
2023-02-08,612.400024,622.0,606.25,613.950012,611.456543,154645,Tanla Platforms Stock
2023-02-09,616.0,638.25,611.099976,627.099976,624.553101,253692,Tanla Platforms Stock
2023-02-10,625.0,638.650024,622.0,632.349976,629.781799,138128,Tanla Platforms Stock
