Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,272.500000,273.899994,269.000000,270.899994,269.513123,953714
2023-01-06,270.049988,271.200012,267.200012,270.000000,268.617737,721930
2023-01-09,272.000000,291.399994,271.100006,289.450012,287.968201,6464804
2023-01-10,286.500000,298.600006,285.500000,289.799988,288.316376,4651066
2023-01-11,291.000000,300.000000,288.000000,299.200012,297.668274,4627649
2023-01-12,300.700012,305.000000,293.200012,295.100006,293.589264,3568679
2023-01-13,296.500000,310.700012,295.899994,308.549988,306.970398,5903809
2023-01-16,311.299988,315.399994,300.100006,302.000000,300.453918,4344439
2023-01-17,303.299988,310.200012,301.750000,305.649994,304.085236,3243763
2023-01-18,307.000000,310.950012,303.100006,308.350006,306.771423,2775644
2023-01-19,308.399994,315.299988,307.549988,313.850006,312.243256,4884677
2023-01-20,315.000000,315.049988,310.100006,312.750000,311.148895,2704855
2023-01-23,312.700012,313.250000,297.000000,303.549988,301.995972,2595157
2023-01-24,304.850006,308.299988,294.000000,299.350006,297.817505,2343669
2023-01-25,299.000000,311.799988,297.000000,300.399994,298.862122,3645017
2023-01-27,300.000000,306.250000,286.500000,298.399994,296.872345,3339589
2023-01-30,299.100006,305.799988,298.549988,301.750000,300.205200,3383826
2023-01-31,304.000000,306.500000,298.149994,302.450012,300.901642,1912210
2023-02-01,303.850006,306.000000,291.549988,302.399994,300.851868,2732882
2023-02-02,303.450012,308.299988,300.049988,306.100006,304.532959,1711354
2023-02-03,307.000000,310.500000,303.899994,309.250000,307.666809,3179890
2023-02-06,308.000000,310.000000,306.100006,307.399994,305.826263,2066418
2023-02-07,308.950012,319.500000,307.850006,315.299988,313.685822,3715973
2023-02-08,316.100006,319.450012,315.000000,316.450012,314.829956,1538187
2023-02-09,316.350006,316.350006,306.049988,311.450012,309.855560,2591230
2023-02-10,321.149994,333.000000,318.200012,327.850006,326.171600,7281913
2023-02-13,328.799988,335.250000,328.000000,334.450012,332.737823,4193247
2023-02-14,334.000000,338.600006,333.299988,335.750000,334.031158,3557133
2023-02-15,334.950012,336.350006,315.450012,320.750000,319.107941,4085177
2023-02-16,322.950012,327.450012,321.500000,323.750000,322.092590,4072105
2023-02-17,320.950012,325.750000,317.500000,320.149994,318.511017,2437429
2023-02-20,319.950012,323.799988,314.000000,317.000000,315.377136,7742141
2023-02-21,316.299988,324.350006,315.049988,319.899994,318.262299,3231711
2023-02-22,318.750000,320.799988,312.000000,314.399994,312.790436,2921934
2023-02-23,315.700012,320.500000,312.649994,314.200012,312.591492,3645631
2023-02-24,315.750000,319.850006,313.000000,314.850006,313.238159,3877334
2023-02-27,314.399994,319.750000,308.399994,310.899994,309.308350,3505642
2023-02-28,315.000000,318.799988,298.799988,305.250000,303.687286,78490279
2023-03-01,300.000000,309.600006,299.149994,306.799988,305.229340,1547803
2023-03-02,308.899994,309.799988,291.000000,300.049988,298.513885,3935281
2023-03-03,302.000000,306.000000,296.100006,300.750000,299.210327,2251488
2023-03-06,301.000000,301.600006,294.049988,298.350006,296.822632,1748045
2023-03-08,298.700012,305.399994,297.000000,301.299988,299.757507,2094412
2023-03-09,301.649994,304.799988,295.100006,297.049988,295.529266,1812978
2023-03-10,295.850006,302.000000,294.000000,297.350006,295.827728,2168497
2023-03-13,296.850006,298.200012,286.799988,290.950012,289.460510,2083004
2023-03-14,290.000000,298.200012,280.750000,293.000000,291.500000,2059502
2023-03-15,293.200012,299.700012,289.100006,292.200012,292.200012,1559818
2023-03-16,292.950012,294.000000,283.500000,290.799988,290.799988,1772334
2023-03-17,292.049988,293.450012,286.000000,289.149994,289.149994,1801010
2023-03-20,285.500000,291.000000,276.649994,286.850006,286.850006,2344438
2023-03-21,288.350006,298.950012,288.350006,296.299988,296.299988,2262931
2023-03-22,297.799988,299.799988,292.200012,293.899994,293.899994,796707
2023-03-23,292.950012,298.899994,292.149994,296.299988,296.299988,1145571
2023-03-24,296.000000,296.850006,286.100006,288.750000,288.750000,1060023
2023-03-27,290.000000,291.899994,284.100006,287.700012,287.700012,1469877
2023-03-28,289.350006,291.450012,283.250000,289.549988,289.549988,1100200
2023-03-29,289.000000,308.049988,287.399994,305.049988,305.049988,2925120
2023-03-31,307.600006,307.600006,297.549988,300.049988,300.049988,2761619
2023-04-03,303.000000,304.799988,295.600006,296.700012,296.700012,1250839
2023-04-05,294.049988,297.000000,289.100006,290.500000,290.500000,2588114
2023-04-06,290.500000,292.350006,290.000000,290.700012,290.700012,876239
2023-04-10,290.100006,291.299988,286.850006,288.049988,288.049988,2150819
2023-04-11,288.149994,295.500000,286.799988,294.549988,294.549988,1144355
2023-04-12,295.000000,303.000000,292.750000,301.250000,301.250000,1163685
2023-04-13,302.000000,306.000000,296.500000,298.000000,298.000000,1467802
2023-04-17,299.000000,305.500000,298.049988,301.100006,301.100006,1662067
2023-04-18,303.000000,304.950012,300.500000,303.850006,303.850006,913636
2023-04-19,303.850006,303.899994,296.299988,298.600006,298.600006,593807
2023-04-20,299.500000,302.100006,295.350006,300.149994,300.149994,756569
2023-04-21,298.000000,304.000000,294.299988,302.799988,302.799988,908853
2023-04-24,304.000000,304.399994,300.250000,302.450012,302.450012,561124
2023-04-25,302.899994,307.350006,299.100006,306.149994,306.149994,1323830
2023-04-26,306.149994,310.799988,302.700012,308.750000,308.750000,2238883
2023-04-27,309.250000,310.200012,303.000000,307.750000,307.750000,1138840
2023-04-28,307.750000,310.799988,303.799988,308.850006,308.850006,1189908
2023-05-02,308.000000,311.350006,305.250000,306.850006,306.850006,999558
2023-05-03,306.799988,316.399994,305.100006,311.799988,311.799988,2687959
2023-05-04,313.649994,315.799988,309.000000,311.250000,311.250000,791174
2023-05-05,308.700012,311.250000,303.500000,305.549988,305.549988,1842407
2023-05-08,306.750000,314.149994,290.000000,312.350006,312.350006,3569790
2023-05-09,315.500000,323.399994,309.299988,320.500000,320.500000,3493120
2023-05-10,323.000000,325.000000,315.000000,315.850006,315.850006,1526594
2023-05-11,316.700012,329.000000,316.450012,327.000000,327.000000,4777643
2023-05-12,326.299988,335.000000,322.850006,332.350006,332.350006,4621280
2023-05-15,330.299988,341.500000,329.049988,332.149994,332.149994,3198066
2023-05-16,332.000000,344.700012,331.000000,338.450012,338.450012,3037654
2023-05-17,338.450012,340.399994,332.450012,336.399994,336.399994,1454973
2023-05-18,339.000000,339.799988,334.649994,336.649994,336.649994,778622
2023-05-19,338.250000,344.750000,333.250000,340.649994,340.649994,1280319
2023-05-22,340.950012,354.600006,339.100006,353.000000,353.000000,3438288
2023-05-23,351.649994,362.000000,351.100006,357.399994,357.399994,2640866
2023-05-24,356.000000,365.549988,354.549988,364.299988,364.299988,1791179
2023-05-25,363.850006,375.000000,358.450012,373.250000,373.250000,3876292
2023-05-26,375.100006,389.250000,373.299988,387.000000,387.000000,3040632
2023-05-29,388.899994,395.299988,378.000000,383.750000,383.750000,2939627
2023-05-30,383.350006,388.700012,375.549988,385.899994,385.899994,3152139
2023-05-31,385.899994,397.799988,382.000000,392.850006,392.850006,6088536
2023-06-01,392.750000,394.299988,386.200012,388.549988,388.549988,3435479
2023-06-02,390.549988,392.000000,378.100006,380.850006,380.850006,1858421
2023-06-05,380.850006,383.250000,377.600006,381.450012,381.450012,3094541
2023-06-06,381.000000,382.649994,373.000000,374.600006,374.600006,944775
2023-06-07,376.649994,380.600006,369.000000,370.100006,370.100006,1354189
2023-06-08,372.200012,377.000000,371.100006,375.049988,375.049988,1331695
2023-06-09,375.000000,389.000000,374.250000,379.950012,379.950012,1529117
2023-06-12,382.000000,384.799988,376.049988,377.850006,377.850006,835240
2023-06-13,377.850006,383.899994,375.850006,382.399994,382.399994,1074668
2023-06-14,383.899994,384.000000,376.100006,378.100006,378.100006,1358222
2023-06-15,377.399994,381.000000,376.350006,378.299988,378.299988,691330
2023-06-16,379.399994,380.950012,373.600006,377.100006,377.100006,1256088
2023-06-19,377.000000,380.250000,362.399994,364.500000,364.500000,4434760
2023-06-20,366.899994,371.000000,363.399994,366.799988,366.799988,2131374
2023-06-21,369.000000,379.750000,367.950012,377.149994,377.149994,1625233
2023-06-22,377.450012,379.399994,371.049988,372.600006,372.600006,615591
2023-06-23,373.350006,373.350006,364.399994,368.799988,368.799988,1167160
2023-06-26,370.000000,374.799988,367.149994,373.899994,373.899994,1703097
2023-06-27,374.000000,378.750000,371.000000,373.299988,373.299988,629123
2023-06-28,373.299988,373.299988,373.299988,373.299988,373.299988,0
2023-06-30,376.250000,379.950012,374.600006,378.500000,378.500000,875942
2023-07-03,379.950012,383.899994,375.600006,378.899994,378.899994,802497
2023-07-04,379.899994,381.799988,375.250000,379.049988,379.049988,557086
2023-07-05,378.500000,385.000000,378.000000,384.149994,384.149994,1237128
2023-07-06,385.000000,395.000000,384.299988,390.250000,390.250000,2410088
2023-07-07,392.350006,393.850006,384.700012,386.450012,386.450012,1208758
2023-07-10,386.450012,389.799988,379.899994,388.649994,388.649994,1894464
2023-07-11,389.850006,400.000000,386.950012,399.049988,399.049988,2580097
2023-07-12,403.500000,407.649994,401.750000,405.850006,405.850006,1785862
2023-07-13,406.899994,408.450012,401.500000,403.950012,403.950012,1165892
2023-07-14,404.500000,410.000000,397.049988,408.750000,408.750000,1226202
2023-07-17,410.899994,410.899994,405.000000,406.899994,406.899994,615003
2023-07-18,409.000000,424.000000,405.049988,422.700012,422.700012,2378567
2023-07-19,424.049988,424.649994,414.100006,417.399994,417.399994,1570254
2023-07-20,419.100006,419.399994,411.000000,412.299988,412.299988,933152
2023-07-21,413.000000,414.000000,404.100006,408.049988,408.049988,1047371
2023-07-24,408.000000,412.500000,400.049988,401.850006,401.850006,1076880
2023-07-25,404.799988,409.799988,398.500000,399.500000,399.500000,981046
2023-07-26,400.000000,408.000000,398.000000,400.450012,400.450012,1935916
2023-07-27,403.600006,404.799988,391.200012,396.799988,396.799988,3611506
2023-07-28,403.850006,407.299988,395.000000,403.750000,403.750000,2271602
2023-07-31,403.750000,404.950012,398.250000,402.049988,402.049988,1147205
2023-08-01,401.000000,410.049988,394.100006,408.000000,408.000000,1740052
2023-08-02,409.350006,412.350006,402.049988,407.399994,407.399994,1243991
2023-08-03,409.049988,413.100006,404.149994,406.299988,406.299988,1014133
2023-08-04,409.200012,412.450012,403.600006,408.049988,408.049988,846840
2023-08-07,410.000000,411.899994,403.000000,404.899994,404.899994,562836
2023-08-08,404.000000,408.899994,402.850006,407.950012,407.950012,813604
2023-08-09,408.500000,409.700012,402.200012,403.850006,403.850006,725021
2023-08-10,404.000000,406.799988,400.000000,401.399994,401.399994,687611
2023-08-11,403.649994,404.899994,401.000000,403.950012,403.950012,1438246
2023-08-14,403.950012,407.250000,398.899994,401.700012,401.700012,683453
2023-08-16,401.500000,413.649994,401.000000,408.299988,408.299988,1491227
2023-08-17,409.000000,425.500000,405.950012,412.399994,412.399994,2523108
2023-08-18,414.500000,432.000000,414.000000,429.649994,429.649994,3336542
2023-08-21,435.000000,435.000000,421.000000,423.100006,423.100006,1875220
2023-08-22,426.000000,427.899994,419.250000,424.950012,424.950012,929212
2023-08-23,424.950012,427.450012,414.000000,417.000000,417.000000,879842
2023-08-24,419.950012,420.000000,412.250000,414.750000,414.750000,847091
2023-08-25,414.450012,421.399994,412.450012,417.950012,417.950012,1138594
2023-08-28,420.000000,420.950012,408.600006,410.600006,410.600006,1116505
2023-08-29,412.500000,412.649994,405.100006,406.799988,406.799988,1068508
2023-08-30,408.450012,412.399994,407.250000,409.399994,409.399994,864442
2023-08-31,411.950012,435.000000,411.000000,429.350006,429.350006,7965798
2023-09-01,424.899994,426.000000,416.600006,423.950012,423.950012,2190945
2023-09-04,426.600006,440.000000,420.549988,434.950012,434.950012,2935598
2023-09-05,439.950012,449.950012,433.000000,437.450012,437.450012,3817208
2023-09-06,437.450012,438.299988,429.700012,431.600006,431.600006,1013008
2023-09-07,434.200012,449.950012,433.000000,448.700012,448.700012,2409688
2023-09-08,450.950012,459.700012,450.549988,455.250000,455.250000,2587763
2023-09-11,458.200012,458.399994,445.000000,451.350006,451.350006,1000599
2023-09-12,454.950012,454.950012,434.000000,440.399994,440.399994,1853376
2023-09-13,439.000000,452.000000,420.000000,443.399994,443.399994,2121602
2023-09-14,446.000000,446.500000,434.149994,444.850006,444.850006,1765008
2023-09-15,447.250000,454.700012,432.000000,436.200012,436.200012,4031729
2023-09-18,439.700012,442.950012,432.799988,439.100006,439.100006,1275521
2023-09-20,439.049988,440.000000,430.299988,431.600006,431.600006,1273080
2023-09-21,432.000000,437.450012,425.149994,429.500000,429.500000,1102266
2023-09-22,429.799988,443.000000,422.600006,440.500000,440.500000,1515418
2023-09-25,441.700012,441.950012,431.549988,434.450012,434.450012,1065899
2023-09-26,436.750000,445.000000,431.399994,438.000000,438.000000,1041825
2023-09-27,440.350006,443.899994,433.799988,438.049988,438.049988,906069
2023-09-28,438.049988,448.600006,433.049988,436.500000,436.500000,2089040
2023-09-29,438.600006,446.700012,436.799988,442.200012,442.200012,1068454
2023-10-03,442.200012,446.899994,438.100006,444.350006,444.350006,871947
2023-10-04,445.750000,446.000000,429.000000,432.000000,432.000000,1085420
2023-10-05,436.000000,436.850006,424.549988,426.000000,426.000000,904761
2023-10-06,429.500000,430.450012,417.049988,418.750000,418.750000,1673711
2023-10-09,417.950012,419.549988,411.450012,413.250000,413.250000,898022
2023-10-10,413.250000,418.000000,410.899994,411.950012,411.950012,652483
2023-10-11,416.750000,416.750000,401.000000,404.450012,404.450012,2063963
2023-10-12,405.000000,408.000000,393.049988,399.750000,399.750000,5297532
2023-10-13,400.450012,402.450012,395.000000,396.250000,396.250000,1405103
2023-10-16,396.250000,399.049988,388.000000,393.149994,393.149994,1277647
2023-10-17,394.250000,397.299988,390.200012,392.350006,392.350006,1729180
2023-10-18,392.700012,399.799988,385.200012,386.899994,386.899994,1642283
2023-10-19,386.799988,389.399994,371.000000,380.399994,380.399994,3327160
2023-10-20,383.000000,399.000000,376.250000,394.250000,394.250000,4679204
2023-10-23,400.000000,406.899994,378.549988,384.000000,384.000000,3261076
2023-10-25,389.000000,394.000000,367.950012,372.350006,372.350006,2423091
2023-10-26,375.000000,376.100006,359.200012,371.600006,371.600006,2225309
2023-10-27,375.000000,387.899994,375.000000,384.399994,384.399994,1827772
2023-10-30,387.799988,394.200012,383.049988,391.149994,391.149994,1341022
2023-10-31,395.000000,397.500000,388.399994,390.100006,390.100006,1175211
2023-11-01,390.100006,391.350006,376.200012,383.049988,383.049988,1278270
2023-11-02,384.500000,388.600006,381.149994,383.700012,383.700012,568672
2023-11-03,387.500000,387.500000,378.000000,380.200012,380.200012,1744286
2023-11-06,381.850006,385.000000,370.950012,376.600006,376.600006,1313908
2023-11-07,376.700012,390.799988,376.700012,388.250000,388.250000,1021467
2023-11-08,392.500000,398.799988,381.299988,382.649994,382.649994,1239559
2023-11-09,386.399994,386.899994,378.899994,383.649994,383.649994,2752128
2023-11-10,386.250000,389.549988,379.600006,388.549988,388.549988,1117609
2023-11-13,387.700012,390.000000,380.500000,382.649994,382.649994,1369804
2023-11-15,388.399994,397.500000,379.000000,394.299988,394.299988,1998162
2023-11-16,394.299988,401.200012,387.299988,398.149994,398.149994,2327265
2023-11-17,400.799988,400.950012,387.000000,389.149994,389.149994,1475072
2023-11-20,389.649994,396.250000,382.549988,394.250000,394.250000,1127292
2023-11-21,395.100006,395.799988,389.100006,391.149994,391.149994,948157
