Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,4175.350098,4290.000000,4173.799805,4197.149902,4129.481445,9377
2023-01-06,4208.450195,4214.200195,4120.000000,4125.350098,4058.839355,2221
2023-01-09,4140.000000,4140.200195,4041.000000,4102.200195,4036.062988,2032
2023-01-10,4117.600098,4118.450195,3935.500000,3946.850098,3883.217285,8090
2023-01-11,4006.050049,4006.050049,3900.000000,3948.350098,3884.693359,2105
2023-01-12,3948.350098,3995.949951,3862.000000,3929.050049,3865.704346,3427
2023-01-13,3943.199951,4000.000000,3925.000000,3961.600098,3897.729492,1778
2023-01-16,3961.600098,3961.600098,3900.000000,3940.300049,3876.772949,2000
2023-01-17,3940.300049,3950.000000,3855.000000,3870.250000,3807.852295,2974
2023-01-18,3871.000000,3890.000000,3849.800049,3877.399902,3814.886963,975
2023-01-19,3877.399902,3950.000000,3877.399902,3921.750000,3858.521973,1777
2023-01-20,3921.550049,3970.000000,3911.100098,3952.449951,3888.727051,2556
2023-01-23,3945.649902,3968.449951,3861.050049,3899.300049,3836.434082,2042
2023-01-24,3890.399902,3923.000000,3854.800049,3862.449951,3800.178223,1766
2023-01-25,3899.000000,4148.500000,3877.550049,4096.799805,4030.749756,15137
2023-01-27,4096.799805,4278.000000,3981.550049,4049.850098,3984.556641,13728
2023-01-30,4070.100098,4181.450195,3890.000000,3918.699951,3855.521240,5593
2023-01-31,3938.300049,4120.000000,3890.000000,3954.899902,3891.137451,11008
2023-02-01,3969.000000,3988.000000,3868.000000,3887.699951,3825.020752,3856
2023-02-02,3888.000000,3959.949951,3851.000000,3862.899902,3800.620605,4564
2023-02-03,3827.000000,3900.000000,3821.000000,3860.149902,3797.915039,4175
2023-02-06,3879.500000,3924.949951,3740.000000,3764.699951,3704.003906,4229
2023-02-07,3765.000000,3923.899902,3765.000000,3893.949951,3831.170166,5241
2023-02-08,3913.449951,4070.000000,3913.449951,3955.399902,3891.629639,6719
2023-02-09,3975.199951,4009.449951,3860.000000,3874.199951,3811.738525,3563
2023-02-10,3893.600098,3938.250000,3874.000000,3877.399902,3814.886963,2032
2023-02-13,3960.000000,4138.450195,3955.000000,4018.649902,3953.859619,8088
2023-02-14,4039.000000,4140.000000,3936.050049,4057.050049,3991.640869,7641
2023-02-15,4041.000000,4090.000000,4032.050049,4056.199951,3990.804199,3941
2023-02-16,4076.500000,4100.000000,4056.000000,4083.500000,4017.664063,2386
2023-02-17,4096.950195,4101.000000,4064.149902,4092.100098,4026.125488,2216
2023-02-20,4100.000000,4100.000000,4060.050049,4095.699951,4057.430176,3518
2023-02-21,4060.000000,4099.799805,4051.100098,4092.050049,4053.814209,998
2023-02-22,4090.000000,4100.000000,3960.000000,3990.500000,3953.213135,4065
2023-02-23,4010.500000,4099.000000,3927.000000,4075.600098,4037.518066,8161
2023-02-24,4089.000000,4100.000000,3935.399902,3965.100098,3928.050781,3827
2023-02-27,3994.000000,3994.000000,3798.000000,3809.399902,3773.805176,5013
2023-02-28,3810.000000,3929.000000,3730.000000,3740.350098,3705.400635,5710
2023-03-01,3741.000000,3834.000000,3710.000000,3742.850098,3707.877441,3287
2023-03-02,3702.199951,3747.949951,3661.250000,3682.000000,3647.595947,8398
