Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,682.700012,690.000000,677.200012,682.700012,679.907532,571885
2023-01-06,682.500000,719.950012,679.049988,716.650024,713.718750,2688877
2023-01-09,720.250000,754.599976,710.049988,715.599976,712.672913,6183258
2023-01-10,719.000000,727.349976,706.000000,719.450012,716.507263,1393835
2023-01-11,722.000000,722.900024,701.000000,703.049988,700.174255,836999
2023-01-12,706.599976,711.000000,690.099976,692.549988,689.717285,867422
2023-01-13,695.200012,698.950012,677.000000,692.400024,689.567871,1673248
2023-01-16,695.900024,704.400024,688.049988,693.250000,690.414368,634770
2023-01-17,693.250000,708.000000,692.000000,702.250000,699.377563,956920
2023-01-18,703.500000,708.000000,685.500000,692.599976,689.767029,619850
2023-01-19,689.049988,697.049988,685.950012,695.400024,692.555603,632608
2023-01-20,698.900024,702.900024,686.750000,696.750000,693.900085,470408
2023-01-23,700.250000,701.500000,690.049988,697.799988,694.945740,389484
2023-01-24,701.299988,707.299988,697.650024,702.299988,699.427368,830672
2023-01-25,700.849976,715.599976,687.750000,707.000000,704.108154,908511
2023-01-27,706.950012,717.849976,688.450012,697.400024,694.547424,986918
2023-01-30,700.000000,724.849976,688.099976,709.299988,706.398743,1172465
2023-01-31,709.299988,772.349976,701.700012,762.900024,759.779480,4110246
2023-02-01,775.000000,779.000000,734.349976,742.599976,739.562500,2995906
2023-02-02,742.599976,813.000000,740.650024,787.500000,784.278870,6672636
2023-02-03,785.000000,800.950012,770.700012,778.349976,775.166260,2260046
2023-02-06,784.000000,819.549988,773.099976,776.299988,773.124695,3855942
2023-02-07,779.900024,791.950012,775.200012,778.849976,775.664246,1266458
2023-02-08,780.000000,810.000000,778.250000,803.200012,799.914673,2132640
2023-02-09,807.250000,830.000000,806.049988,817.250000,813.907166,2842171
2023-02-10,817.950012,860.000000,815.000000,855.450012,853.465210,3862427
2023-02-13,860.000000,872.799988,816.700012,820.299988,818.396729,2963766
2023-02-14,824.400024,847.000000,822.549988,834.500000,832.563843,1685164
2023-02-15,835.000000,855.799988,811.400024,844.049988,842.091675,2129885
2023-02-16,848.000000,875.000000,846.099976,866.150024,864.140381,1946554
2023-02-17,861.099976,876.150024,848.000000,856.099976,854.113647,1084471
2023-02-20,855.000000,861.250000,825.049988,827.900024,825.979126,1033309
2023-02-21,831.250000,845.500000,817.700012,822.099976,820.192566,1319818
2023-02-22,814.000000,833.000000,807.599976,811.349976,809.467529,1365678
2023-02-23,815.000000,828.000000,812.250000,823.549988,821.639221,1319393
2023-02-24,829.900024,845.750000,829.099976,833.700012,831.765686,1386710
2023-02-27,833.000000,833.000000,805.299988,816.799988,814.904846,968555
2023-02-28,821.000000,846.299988,815.849976,829.650024,827.725098,1357971
2023-03-01,830.900024,850.000000,826.049988,844.000000,842.041748,943939
2023-03-02,842.950012,856.250000,835.099976,846.200012,844.236694,854661
2023-03-03,852.000000,862.700012,834.950012,837.450012,835.506958,890758
2023-03-06,841.900024,850.000000,830.099976,835.200012,833.262207,592045
2023-03-08,836.000000,836.000000,818.799988,822.200012,820.292358,682924
2023-03-09,826.799988,834.450012,822.000000,825.750000,823.834106,619748
