Date,Open,High,Low,Close,Adj Close,Volume
2023-01-05,1285.000000,1285.000000,1265.000000,1275.000000,1274.226807,18589
2023-01-06,1270.000000,1279.000000,1260.000000,1268.550049,1267.780762,13620
2023-01-09,1275.199951,1304.400024,1261.000000,1293.599976,1292.815552,76438
2023-01-10,1290.000000,1345.000000,1271.349976,1338.199951,1337.388428,37420
2023-01-11,1336.000000,1420.000000,1320.800049,1399.000000,1398.151611,261621
2023-01-12,1399.000000,1414.949951,1365.250000,1408.900024,1408.045654,44857
2023-01-13,1397.500000,1415.000000,1381.550049,1403.849976,1402.998657,25258
2023-01-16,1403.800049,1413.000000,1384.000000,1405.849976,1404.997437,33169
2023-01-17,1419.900024,1419.900024,1383.000000,1402.050049,1401.199829,19217
2023-01-18,1402.050049,1430.949951,1400.099976,1423.150024,1422.286987,20239
2023-01-19,1417.199951,1434.949951,1403.150024,1429.099976,1428.233398,17622
2023-01-20,1436.599976,1436.599976,1391.000000,1398.699951,1397.851807,24782
2023-01-23,1395.000000,1397.750000,1366.000000,1386.449951,1385.609131,19233
2023-01-24,1393.699951,1428.800049,1390.050049,1414.300049,1413.442383,31900
2023-01-25,1418.900024,1440.000000,1408.000000,1431.900024,1431.031738,26738
2023-01-27,1438.000000,1444.800049,1391.000000,1406.849976,1405.996826,36543
2023-01-30,1409.000000,1444.949951,1409.000000,1422.599976,1421.737305,38435
2023-01-31,1416.000000,1479.400024,1416.000000,1452.599976,1451.719116,37509
2023-02-01,1460.000000,1488.000000,1451.650024,1465.500000,1464.611328,120129
2023-02-02,1464.000000,1482.050049,1436.500000,1452.750000,1451.869019,23749
2023-02-03,1480.000000,1532.000000,1475.550049,1495.900024,1494.992920,225495
2023-02-06,1505.000000,1554.349976,1482.199951,1504.449951,1503.537598,113459
2023-02-07,1505.000000,1527.949951,1492.500000,1512.449951,1511.532715,77487
2023-02-08,1519.900024,1527.949951,1480.250000,1488.400024,1487.497437,78244
2023-02-09,1474.900024,1505.000000,1451.949951,1470.150024,1469.258545,92588
