company,roe
Nestle India,108.31
Remedium Life,70.98
South. Magnesium,75.89
Tips Industries,64.02
Kore Digital,77.97
Waaree Renewab.,95.78
Kalyani Cast-Tec,78.67
Lloyds Metals,90.48
Ovobel Foods,99.23
Vasa Denticity,70.50
Dreamfolks Servi,60.19
Sahana Systems,83.13
Digikore Studios,117.47
Phantom Digital,65.45
Krishca Strapp.,149.08
Jyoti Resins,55.12
Kody Technolab,176.67
Esab India,53.16
Coal India,55.99
Remus Pharma.,66.10
Advani Hotels.,50.58
Cons. Finvest,50.25
Fine Organic,49.43
Netweb Technolog,68.01
Innokaiz India,48.89
Cochin Minerals,47.45
CG Power & Indu.,66.05
Guj. Themis Bio.,45.92
I R C T C,45.36
TCS,46.92
Crest Ventures,50.46
Praveg,42.96
Knowledge Marine,52.04
Swaraj Engines,41.11
Nicco Parks,42.25
Easy Trip Plann.,46.86
Shilchar Tech.,42.84
Page Industries,46.44
Zeal Global Serv,55.92
West Coast Paper,44.79
Infollion Resea.,38.97
Hi-Green Carbon,68.25
Pulz Electronics,38.32
Share India Sec.,45.13
Sigma Solve,34.65
Gillette India,38.49
Andhra Paper,39.97
Indian Energy Ex,39.38
Prudent Corp.,39.73
K.P. Energy,41.39
Apar Inds.,32.27
Cams Services,39.71
Diamines & Chem.,35.97
Radiant Cash,33.86
Refex Industries,46.62
Anand Rathi Wea.,37.98
Tata Elxsi,41.07
Tanfac Inds.,34.44
Pentokey Organy,46.83
Aatmaj Health,52.65
Kundan Edifice L,92.52
Spectrum Talent,70.24
SKM Egg Prod.,48.23
Focus Lighting,36.25
Shree Pacetronix,40.55
Hawkins Cookers,38.74
Archean Chemical,44.92
C P C L,77.91
Avonmore Capital,47.66
Hemant Surgical,41.74
Clean Science,33.20
Vinyl Chemicals,32.55
Lords Chloro,37.31
Angel One,47.12
Primo Chemicals,39.37
Ingersoll-Rand,32.33
Jainam Ferro,31.00
Concord Control,37.98
Maan Aluminium,46.60
Steelcast,37.63
Marico,35.85
Atam Valves,42.08
Mold-Tek Technol,33.20
Systango Tech,34.88
CRISIL,32.93
Yudiz Solutions,31.74
Sarthak Metals,32.95
Infosys,31.82
Permanent Magnet,30.79
Vedant Fashions,34.03
Sonata Software,37.68
Syschem (India),31.82
ITC,29.09
Expleo Solutions,28.82
Balaxi Pharma,32.17
Seacoast Ship.,36.11
Crayons Advertis,33.25
Coromandel Inter,28.12
Mazagon Dock,28.59
Cigniti Tech.,32.09
Add-Shop E-Reta.,26.35
TGV Sraac,40.37
Tanla Platforms,31.18
Sharda Motor,28.82
Galactico Corpo.,38.39
Tiger Logistics,27.06
LTIMindtree,28.55
Shivalik Bimetal,32.99
Anlon Tech,29.44
Safari Inds.,34.38
Supreme Petroch.,28.13
High Energy Bat.,33.92
Gandhar Oil Ref.,30.03
