company_x,esg_rating,stock_name,company_y,roe,company,code,market_cap
"1-800-FLOWERS.COM, Inc.",23.6,NAS:FLWS,,,,,
1&1 AG,23.1,ETR:1U1,,,,,
"10X Genomics, Inc.",22.6,NAS:TXG,,,,,
11 Bit Studios SA,16.3,WAR:11B,,,,,
"1Life Healthcare, Inc.",22.8,-,,,,,
1st Source Corp.,29.1,NAS:SRCE,,,,,
"1stdibs.com, Inc.",26.7,NAS:DIBS,,,,,
"22nd Century Group, Inc.",35.4,NAS:XXII,,,,,
23andMe Holding Co.,21.4,NAS:ME,,,,,
29metals Ltd.,41.2,ASX:29M,,,,,
2i Rete Gas SpA,22.6,-,,,,,
"2seventy Bio, Inc.",35.9,NAS:TSVT,,,,,
"2U, Inc.",26.8,NAS:TWOU,,,,,
360 One Wam Ltd.,33.3,BOM:542772,,,,,
"360 Security Technology, Inc.",22.1,SHG:601360,,,,,
361 Degrees International Ltd.,18.8,HKG:1361,,,,,
37 Interactive Entertainment Network Technology Group Co. Ltd.,14.3,SHE:002555,,,,,
3D Systems Corp.,23.0,NYS:DDD,,,,,
3i Group Plc,10.4,LON:III,,,,,
3M Co.,41.0,NYS:MMM,,,,,
3M India Ltd.,21.2,BOM:523395,,,,,
"3peak, Inc.",21.2,SHG:688536,,,,,
3R Petroleum Óleo e Gás SA,56.7,BSP:RRRP3,,,,,
"3SBio, Inc.",26.5,HKG:1530,,,,,
407 East Development Group GP,44.0,-,,,,,
"407 International, Inc.",10.2,-,,,,,
"4D Molecular Therapeutics, Inc.",27.4,NAS:FDMT,,,,,
4imprint Group Plc,17.2,LON:FOUR,,,,,
501(c) Agencies Trust,35.1,-,,,,,
"5E Advanced Materials, Inc.",42.0,NAS:FEAM,,,,,
5I5J Holding Group Co. Ltd.,14.9,SHE:000560,,,,,
7-Eleven Malaysia Holdings Bhd.,24.6,KLS:5250,,,,,
"7-Eleven, Inc.",35.5,-,,,,,
888 Holdings Plc,19.0,LON:888,,,,,
"8x8, Inc.",29.9,NAS:EGHT,,,,,
"908 Devices, Inc.",36.8,NAS:MASS,,,,,
"91APP, Inc.",20.6,ROCO:6741,,,,,
"A-Living Smart City Services Co., Ltd.",11.3,HKG:3319,,,,,
"A-Mark Precious Metals, Inc.",30.3,NAS:AMRK,,,,,
A. O. Smith Corp.,26.6,NYS:AOS,,,,,
A.G. BARR Plc,24.1,LON:BAG,,,,,
A.P. Møller-Mærsk A/S,17.7,CSE:MAERSK.B,,,,,
"A10 Networks, Inc.",20.5,NYS:ATEN,,,,,
A2A SpA,21.3,MIL:A2A,,,,,
A2Dominion Housing Group Ltd.,16.6,-,,,,,
AA Ltd.,17.5,-,,,,,
"AAC Technologies Holdings, Inc.",17.2,HKG:2018,,,,,
"Aadi Bioscience, Inc.",26.4,NAS:AADI,,,,,
AAK AB,26.7,OME:AAK,,,,,
Aalberts NV,23.1,AMS:AALB,,,,,
Aamal Co. QSC,39.4,DSMD:AHCS,,,,,
"AAON, Inc.",22.8,NAS:AAON,,,,,
AAR Corp.,34.0,NYS:AIR,,,,,
Aareal Bank AG,18.7,HAM:ARLN,,,,,
Aarti Drugs Ltd.,34.9,BOM:524348,,,,,
AARTI Industries Ltd.,23.0,BOM:524208,,,,,
Aavas Financiers Ltd.,26.2,BOM:541988,,,,,
AB Dynamics Plc,17.9,LON:ABDP,,,,,
AB Science SA,33.8,PAR:AB,,,,,
Abacus Group,13.4,ASX:ABG,,,,,
ABANCA Corporación Bancaria SA,6.7,-,,,,,
ABB India Ltd.,20.7,BOM:500002,,,,,
ABB Ltd.,15.4,SWX:ABBN,,,,,
Abbott Laboratories,25.2,NYS:ABT,,,Abbott Laboratories,ABT,$191.74 B
"AbbVie, Inc.",26.9,NYS:ABBV,,,,,
