company,pe_ratio,roe
Nestle India,90.40,108.31
Remedium Life,130.47,70.98
South. Magnesium,22.35,75.89
Tips Industries,43.56,64.02
Kore Digital,44.88,77.97
Waaree Renewab.,76.84,95.78
Kalyani Cast-Tec,42.42,78.67
Lloyds Metals,26.22,90.48
Ovobel Foods,5.97,99.23
Vasa Denticity,131.88,70.50
Dreamfolks Servi,38.24,60.19
Sahana Systems,77.05,83.13
Digikore Studios,55.62,117.47
Phantom Digital,34.84,65.45
Krishca Strapp.,28.65,149.08
Jyoti Resins,30.52,55.12
Kody Technolab,117.25,176.67
Esab India,56.17,53.16
Coal India,8.47,55.99
Remus Pharma.,86.62,66.10
Advani Hotels.,20.67,50.58
Cons. Finvest,3.10,50.25
Fine Organic,32.30,49.43
Netweb Technolog,141.71,68.01
Innokaiz India,14.18,48.89
Cochin Minerals,6.27,47.45
CG Power & Indu.,81.18,66.05
Guj. Themis Bio.,40.17,45.92
I R C T C,66.75,45.36
TCS,30.05,46.92
Crest Ventures,14.47,50.46
Praveg,95.04,42.96
Knowledge Marine,36.63,52.04
Swaraj Engines,21.97,41.11
Nicco Parks,31.37,42.25
Easy Trip Plann.,45.20,46.86
Shilchar Tech.,28.53,42.84
Page Industries,85.31,46.44
Zeal Global Serv,27.83,55.92
West Coast Paper,4.78,44.79
Infollion Resea.,36.82,38.97
Hi-Green Carbon,37.95,68.25
Pulz Electronics,17.91,38.32
Share India Sec.,15.23,45.13
Sigma Solve,38.68,34.65
Gillette India,59.03,38.49
Andhra Paper,4.27,39.97
Indian Energy Ex,47.57,39.38
Prudent Corp.,39.58,39.73
K.P. Energy,34.02,41.39
Apar Inds.,30.15,32.27
Cams Services,44.79,39.71
Diamines & Chem.,17.44,35.97
Radiant Cash,16.79,33.86
Refex Industries,11.11,46.62
Anand Rathi Wea.,57.07,37.98
Tata Elxsi,68.53,41.07
Tanfac Inds.,34.94,34.44
Pentokey Organy,20.03,46.83
Aatmaj Health,16.44,52.65
Kundan Edifice L,46.85,92.52
Spectrum Talent,11.69,70.24
SKM Egg Prod.,8.80,48.23
Focus Lighting,38.85,36.25
Shree Pacetronix,19.08,40.55
Hawkins Cookers,41.20,38.74
Archean Chemical,20.23,44.92
C P C L,3.68,77.91
Avonmore Capital,16.66,47.66
Hemant Surgical,26.39,41.74
Clean Science,60.48,33.20
Vinyl Chemicals,37.89,32.55
Lords Chloro,26.73,37.31
Angel One,29.47,47.12
Primo Chemicals,41.36,39.37
Ingersoll-Rand,44.85,32.33
Jainam Ferro,16.06,31.00
Concord Control,54.63,37.98
Maan Aluminium,17.13,46.60
Steelcast,16.99,37.63
Marico,50.81,35.85
Atam Valves,29.53,42.08
Mold-Tek Technol,23.27,33.20
Systango Tech,21.28,34.88
CRISIL,50.04,32.93
