company,code,market_cap
Apple,AAPL,$2.835 T
Microsoft,MSFT,$2.750 T
Saudi Aramco,2222.SR,$2.133 T
Alphabet (Google),GOOG,$1.729 T
Amazon,AMZN,$1.502 T
NVIDIA,NVDA,$1.189 T
Meta Platforms (Facebook),META,$892.49 B
Berkshire Hathaway,BRK-B,$798.49 B
Tesla,TSLA,$765.70 B
Eli Lilly,LLY,$592.92 B
Visa,V,$533.77 B
TSMC,TSM,$516.74 B
UnitedHealth,UNH,$505.51 B
JPMorgan Chase,JPM,$498.06 B
Novo Nordisk,NVO,$483.54 B
Broadcom,AVGO,$436.66 B
Walmart,WMT,$426.66 B
Exxon Mobil,XOM,$411.26 B
LVMH,MC.PA,$403.00 B
Mastercard,MA,$395.54 B
Johnson & Johnson,JNJ,$387.83 B
Samsung,005930.KS,$386.11 B
Tencent,TCEHY,$358.57 B
Procter & Gamble,PG,$350.54 B
Home Depot,HD,$338.28 B
Nestlé,NESN.SW,$310.13 B
Merck,MRK,$296.74 B
Kweichow Moutai,600519.SS,$292.88 B
ASML,ASML,$288.97 B
Costco,COST,$286.99 B
Chevron,CVX,$286.06 B
AbbVie,ABBV,$285.10 B
Oracle,ORCL,$283.08 B
Bank of America,BAC,$268.55 B
L'Oréal,OR.PA,$263.23 B
Coca-Cola,KO,$259.40 B
Adobe,ADBE,$259.33 B
Toyota,TM,$248.21 B
International Holding Company,IHC.AE,$244.41 B
Salesforce,CRM,$243.44 B
Roche,ROG.SW,$241.71 B
Pepsico,PEP,$236.62 B
ICBC,1398.HK,$227.71 B
AMD,AMD,$220.70 B
Hermès,RMS.PA,$218.99 B
Shell,SHEL,$217.26 B
Novartis,NVS,$216.64 B
AstraZeneca,AZN,$214.15 B
McDonald,MCD,$212.40 B
Accenture,ACN,$211.45 B
Reliance Industries,RELIANCE.NS,$211.18 B
Netflix,NFLX,$208.77 B
Thermo Fisher Scientific,TMO,$206.84 B
Cisco,CSCO,$204.27 B
Linde,LIN,$198.74 B
Pinduoduo,PDD,$197.85 B
Intel,INTC,$197.03 B
Abbott Laboratories,ABT,$191.74 B
T-Mobile US,TMUS,$188.20 B
Alibaba,BABA,$187.36 B
PetroChina,601857.SS,$182.37 B
China Mobile,0941.HK,$180.50 B
Agricultural Bank of China,601288.SS,$180.08 B
Wells Fargo,WFC,$180.00 B
SAP,SAP,$176.12 B
Danaher,DHR,$171.49 B
Comcast,CMCSA,$171.30 B
BHP Group,BHP,$168.39 B
HDFC Bank,HDB,$167.46 B
Verizon,VZ,$166.16 B
Intuit,INTU,$165.01 B
Walt Disney,DIS,$164.98 B
Pfizer,PFE,$164.63 B
TotalEnergies,TTE,$162.36 B
Amgen,AMGN,$161.48 B
Tata Consultancy Services,TCS.NS,$159.47 B
Nike,NKE,$156.74 B
HSBC,HSBC,$155.85 B
Bank of China,601988.SS,$153.93 B
QUALCOMM,QCOM,$151.91 B
Morgan Stanley,MS,$151.36 B
China Construction Bank,601939.SS,$149.61 B
Texas Instruments,TXN,$149.18 B
Philip Morris,PM,$149.07 B
Boeing,BA,$148.60 B
Union Pacific Corporation,UNP,$148.20 B
IBM,IBM,$147.40 B
Caterpillar,CAT,$146.13 B
Royal Bank Of Canada,RY,$141.71 B
Siemens,SIE.DE,$140.61 B
Dior,CDI.PA,$140.31 B
ConocoPhillips,COP,$139.53 B
ServiceNow,NOW,$138.58 B
American Express,AXP,$136.67 B
S&P Global,SPGI,$136.63 B
General Electric,GE,$136.46 B
Honeywell,HON,$135.31 B
United Parcel Service,UPS,$133.30 B
Prosus,PRX.AS,$132.08 B
Anheuser-Busch Inbev,BUD,$129.93 B
Inditex,IDEXY,$129.54 B
Nextera Energy,NEE,$127.86 B
Sanofi,SNY,$127.81 B
Commonwealth Bank,CBA.AX,$125.30 B
Goldman Sachs,GS,$125.15 B
Applied Materials,AMAT,$124.91 B
Raytheon Technologies,RTX,$124.22 B
AT&T,T,$122.94 B
Airbus,AIR.PA,$122.58 B
Deutsche Telekom,DTE.DE,$122.43 B
Lowe's Companies,LOW,$122.21 B
Unilever,UL,$122.18 B
Charles Schwab,SCHW,$122.16 B
Rio Tinto,RIO,$120.98 B
Uber,UBER,$120.38 B
Booking Holdings (Booking.com),BKNG,$119.49 B
Prologis,PLD,$119.32 B
BlackRock,BLK,$116.92 B
Toronto Dominion Bank,TD,$114.97 B
Lockheed Martin,LMT,$114.91 B
Sony,SONY,$114.57 B
Elevance Health,ELV,$114.32 B
